"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_cosmeticdental.com","FirstLinkDate_cosmeticdental.com","LastLinkDate_cosmeticdental.com"
13,"freewebfeeds.com",0,-1,1,4,0,302244,302244,14/01/2008 00:00,10/08/2013 00:00,"70.86.108.170","70.86.108.0","US","com",0,0,4,15/01/2009 00:00,15/01/2009 00:00
14,"wholesaleretail.net",198,-1,1,4,690,651628,324660,24/01/2008 00:00,10/08/2013 00:00,"70.86.108.170","70.86.108.0","US","net",11,7,4,10/06/2009 00:00,13/07/2009 00:00
15,"sekskamery.com.pl",105,-1,1,3,959,22980,20310,26/03/2008 00:00,12/07/2010 00:00,"212.91.7.33","212.91.7.0","PL","pl",6,0,3,23/05/2008 00:00,23/05/2008 00:00
16,"celluliteremover.tk",2,-1,1,3,2,64030,41271,29/05/2013 00:00,31/07/2013 00:00,"","","","tk",4,0,3,16/06/2013 00:00,16/06/2013 00:00
17,"bigfinder.de",12138,428763,1,2,1869979,113498,72123,26/01/2008 00:00,10/08/2013 00:00,"83.133.125.202","83.133.125.0","DE","de",27,14,2,28/04/2011 00:00,28/04/2011 00:00
18,"babieca.com",6827,692933,1,2,162162,2147673,334687,04/02/2008 00:00,10/08/2013 00:00,"69.167.147.150","69.167.147.0","US","com",34,27,2,29/10/2011 00:00,31/01/2012 00:00
19,"wearitright.info",107,-1,1,2,15020,54741,6086,23/03/2008 00:00,15/06/2008 00:00,"193.28.89.11","193.28.89.0","FI","info",8,0,2,12/06/2008 00:00,12/06/2008 00:00
20,"som2010.com",83,-1,1,2,1665,160358,52815,05/01/2011 00:00,10/08/2013 00:00,"74.208.42.70","74.208.42.0","US","com",6,0,2,10/04/2013 00:00,10/04/2013 00:00
21,"ru-girl.com",3940,-1,1,2,1099199,2789547,1054413,07/06/2009 00:00,10/08/2013 00:00,"188.40.18.231","188.40.18.0","DE","com",32,22,2,16/10/2011 00:00,16/10/2011 00:00
22,"smilefinance.com",2,-1,1,2,2,146,143,26/03/2013 00:00,09/08/2013 00:00,"67.20.107.241","67.20.107.0","US","com",0,0,2,01/03/2013 00:00,16/07/2013 00:00
23,"gentlemanliness.info",196,-1,1,2,278224,62619,11235,25/04/2008 00:00,19/08/2008 00:00,"72.215.225.9","72.215.225.0","US","info",7,0,2,25/04/2008 00:00,25/04/2008 00:00
24,"thesmiledentist.com",37,-1,1,2,461,469,378,14/02/2008 00:00,28/12/2012 00:00,"98.129.126.140","98.129.126.0","US","com",7,0,2,25/04/2011 00:00,12/12/2012 00:00
25,"badbreathcause.info",70,-1,1,2,204,656,360,17/02/2008 00:00,20/02/2010 00:00,"69.43.160.175","69.43.160.0","US","info",4,0,2,09/06/2008 00:00,09/06/2008 00:00
26,"webmii.cz",0,-1,1,2,0,90156,90156,15/06/2010 00:00,10/08/2013 00:00,"195.95.224.130","195.95.224.0","FR","cz",0,0,2,14/10/2011 00:00,10/05/2012 00:00
27,"lifesavingdentistry.com",8,-1,1,2,95,136,136,28/10/2010 00:00,10/08/2013 00:00,"67.20.107.241","67.20.107.0","US","com",9,0,2,20/11/2010 00:00,06/06/2013 00:00
28,"thedentalsiteonline.com",21,-1,1,2,678,2794,2777,12/01/2008 00:00,24/02/2008 00:00,"","","","com",5,0,2,19/01/2008 00:00,19/01/2008 00:00
29,"articleshow.info",370,-1,1,2,215614,74807,7648,12/04/2008 00:00,10/06/2011 00:00,"199.101.28.20","199.101.28.0","US","info",8,2,2,20/05/2008 00:00,20/05/2008 00:00
30,"fastdentists.com",22,-1,1,2,928,3877,2956,14/01/2008 00:00,25/07/2013 00:00,"82.98.86.171","82.98.86.0","DE","com",0,0,2,11/01/2008 00:00,10/02/2008 00:00
31,"dentalclearancecenters.com",19,-1,1,2,409,578,567,06/06/2013 00:00,10/08/2013 00:00,"174.120.18.99","174.120.18.0","US","com",22,5,2,11/02/2011 00:00,30/04/2013 00:00
32,"aussiedust.com",79,-1,1,2,197,109530,61785,22/12/2008 00:00,10/08/2013 00:00,"203.170.86.225","203.170.86.0","AU","com",10,4,2,09/04/2013 00:00,03/08/2013 00:00
33,"badbreathelp.com",96,-1,1,2,1100,46151,19957,31/05/2008 00:00,29/12/2012 00:00,"50.63.202.89","50.63.202.0","US","com",5,0,2,03/04/2008 00:00,28/08/2011 00:00
34,"deceptionwrinklecream.com",1453,-1,1,2,3699,125674,14373,15/01/2008 00:00,10/08/2013 00:00,"64.95.64.194","64.95.64.0","US","com",20,12,2,17/01/2008 00:00,17/01/2008 00:00
35,"webs.com",1923098,335,1,1,1852820609,21287458,2318837,13/01/2008 00:00,10/08/2013 00:00,"75.98.17.19","75.98.17.0","US","com",91,48,1,26/10/2011 00:00,21/03/2012 00:00
36,"freehostia.com",644050,15420,1,1,1800420022,44330022,3323704,09/01/2008 00:00,10/08/2013 00:00,"198.23.57.7","198.23.57.0","US","com",64,40,1,15/03/2008 00:00,15/03/2008 00:00
37,"netcoleta.com",49,704116,1,1,37334,79516,34667,06/04/2013 00:00,23/05/2013 00:00,"198.7.56.97","198.7.56.0","US","com",1,0,1,16/05/2013 00:00,16/05/2013 00:00
38,"kynny.com",4256,801704,1,1,286160,2813189,830329,27/04/2008 00:00,10/08/2013 00:00,"203.196.17.93","203.196.17.0","JP","com",30,25,1,22/03/2012 00:00,22/03/2012 00:00
39,"wreathy.org",331,-1,1,1,147598,98852,11615,11/04/2008 00:00,20/09/2009 00:00,"50.22.11.10","50.22.11.0","US","org",11,0,1,29/08/2008 00:00,29/08/2008 00:00
40,"diaconicum.info",143,-1,1,1,17906,15366,1982,12/03/2008 00:00,11/08/2008 00:00,"199.101.28.20","199.101.28.0","US","info",8,0,1,10/08/2008 00:00,10/08/2008 00:00
41,"dentistsdentalteeth.info",23,-1,1,1,790,2138,1683,18/01/2008 00:00,06/04/2008 00:00,"81.200.64.50","81.200.64.0","UK","info",5,0,1,22/01/2008 00:00,22/01/2008 00:00
42,"barded.info",93,-1,1,1,8837,7158,1131,06/06/2008 00:00,08/04/2012 00:00,"208.73.210.48","208.73.210.0","US","info",7,0,1,21/08/2008 00:00,21/08/2008 00:00
43,"aciform.org",240,-1,1,1,701829,79729,25428,03/03/2008 00:00,09/10/2008 00:00,"205.178.129.167","205.178.129.0","US","org",14,0,1,31/08/2008 00:00,31/08/2008 00:00
44,"fishynews.info",213,-1,1,1,92943,60146,8332,06/04/2008 00:00,19/08/2008 00:00,"50.22.11.10","50.22.11.0","US","info",8,0,1,08/06/2008 00:00,08/06/2008 00:00
45,"ausso.info",215,-1,1,1,253139,37746,10122,19/02/2008 00:00,23/08/2008 00:00,"81.200.64.50","81.200.64.0","UK","info",8,0,1,19/05/2008 00:00,19/05/2008 00:00
46,"eantyk.pl",14,-1,1,1,64,22886,19408,02/08/2008 00:00,03/03/2009 00:00,"212.91.6.58","212.91.6.0","PL","pl",0,0,1,17/12/2008 00:00,17/12/2008 00:00
47,"artofreading.info",194,-1,1,1,400141,34963,9757,12/02/2008 00:00,23/07/2013 00:00,"92.242.144.2","92.242.144.0","UK","info",9,0,1,11/08/2008 00:00,11/08/2008 00:00
48,"biz.pl",356104,-1,1,1,325114865,26727410,2026116,10/01/2008 00:00,10/08/2013 00:00,"195.245.94.2","195.245.94.0","PL","pl",70,65,1,17/03/2008 00:00,17/03/2008 00:00
49,"stelography.org",313,-1,1,1,52325,36054,4363,21/04/2008 00:00,05/10/2008 00:00,"81.200.64.50","81.200.64.0","UK","org",11,0,1,27/08/2008 00:00,27/08/2008 00:00
50,"getclose.info",300,-1,1,1,327015,78632,11400,13/02/2008 00:00,14/08/2008 00:00,"63.251.179.13","63.251.179.0","US","info",8,0,1,20/07/2008 00:00,20/07/2008 00:00
51,"polychord.org",277,-1,1,1,35137,32187,4175,04/07/2008 00:00,10/09/2009 00:00,"50.22.11.10","50.22.11.0","US","org",11,0,1,04/07/2008 00:00,04/07/2008 00:00
52,"foppery.org",270,-1,1,1,138437,113944,5862,18/04/2008 00:00,05/02/2009 00:00,"81.200.64.50","81.200.64.0","UK","org",0,0,1,22/06/2008 00:00,22/06/2008 00:00
53,"habitmaker.info",170,-1,1,1,19704,19923,1279,16/08/2008 00:00,03/10/2008 00:00,"192.31.186.26","192.31.186.0","US","info",7,0,1,16/09/2008 00:00,16/09/2008 00:00
54,"fenginfo.org",15,-1,1,1,15315,3029,108,16/01/2013 00:00,,"81.200.64.50","81.200.64.0","UK","org",5,0,1,22/04/2008 00:00,22/04/2008 00:00
55,"fallinwealth.org",97,-1,1,1,95697,87213,14237,28/01/2008 00:00,23/04/2008 00:00,"","","","org",5,0,1,20/04/2008 00:00,20/04/2008 00:00
56,"luckyreader.info",196,-1,1,1,241488,42585,13058,12/02/2008 00:00,24/04/2009 00:00,"81.200.64.50","81.200.64.0","UK","info",7,0,1,20/05/2008 00:00,20/05/2008 00:00
57,"mediacool.info",231,-1,1,1,71762,49234,4670,17/03/2008 00:00,26/10/2009 00:00,"72.29.64.157","72.29.64.0","US","info",8,0,1,06/04/2008 00:00,06/04/2008 00:00
58,"roundcraft.info",132,-1,1,1,21925,20496,1547,25/03/2008 00:00,19/01/2013 00:00,"63.251.179.13","63.251.179.0","US","info",7,0,1,02/06/2008 00:00,02/06/2008 00:00
59,"unowned.info",177,-1,1,1,16210,15579,918,03/08/2008 00:00,17/01/2013 00:00,"46.252.158.14","46.252.158.0","IT","info",8,0,1,03/08/2008 00:00,03/08/2008 00:00
60,"cibarious.org",272,-1,1,1,605976,45079,24369,27/02/2008 00:00,09/09/2008 00:00,"8.15.7.117","8.15.7.0","US","org",14,0,1,22/04/2008 00:00,22/04/2008 00:00
61,"caseation.org",360,-1,1,1,197363,81622,13771,19/04/2008 00:00,09/10/2008 00:00,"50.22.11.10","50.22.11.0","US","org",14,0,1,12/08/2008 00:00,12/08/2008 00:00
62,"bedstead.org",328,-1,1,1,270950,58808,30316,27/02/2008 00:00,10/08/2013 00:00,"67.215.66.132","67.215.66.0","US","org",19,0,1,21/06/2008 00:00,21/06/2008 00:00
63,"fraudulency.info",170,-1,1,1,21096,21067,2844,04/04/2008 00:00,01/09/2008 00:00,"212.91.6.58","212.91.6.0","PL","info",9,0,1,19/08/2008 00:00,19/08/2008 00:00
64,"yofather.info",211,-1,1,1,150587,39588,11180,13/02/2008 00:00,23/08/2008 00:00,"204.232.162.154","204.232.162.0","US","info",8,0,1,10/08/2008 00:00,10/08/2008 00:00
65,"eratso.cn",141,-1,1,1,3767,6840,4566,18/05/2009 00:00,23/01/2013 00:00,"223.7.154.138","223.7.154.0","CN","cn",6,0,1,29/03/2009 00:00,29/03/2009 00:00
66,"winzy.com",10841,-1,1,1,2218106,3762350,420287,12/01/2008 00:00,03/04/2013 00:00,"4.78.241.86","4.78.241.0","US","com",19,19,1,23/08/2008 00:00,23/08/2008 00:00
67,"a1-tips.com",9213,-1,1,1,709090,15373,7072,11/01/2008 00:00,31/01/2013 00:00,"216.36.58.209","216.36.58.0","US","com",11,1,1,11/01/2008 00:00,28/01/2008 00:00
68,"avantfind.com",6638,-1,1,1,4264149,14189525,500520,09/01/2008 00:00,10/08/2013 00:00,"207.228.252.98","207.228.252.0","US","com",35,19,1,27/02/2012 00:00,01/05/2012 00:00
69,"beautifulsmiledentistry.com",4,-1,1,1,13,79,77,30/04/2013 00:00,09/08/2013 00:00,"69.89.31.123","69.89.31.0","US","com",7,0,1,18/03/2011 00:00,04/07/2013 00:00
70,"bnilasvegas.com",166,-1,1,1,809,1235,1192,04/03/2008 00:00,10/08/2013 00:00,"83.138.153.47","83.138.153.0","UK","com",16,19,1,04/07/2013 00:00,04/07/2013 00:00
71,"centerfordentalmedicine.com",81,-1,1,1,1249,155,152,17/09/2009 00:00,10/08/2013 00:00,"67.20.107.241","67.20.107.0","US","com",20,9,1,06/01/2011 00:00,21/05/2011 00:00
72,"clubwear-24.com",12,-1,1,1,4469,196923,69853,09/01/2008 00:00,27/09/2008 00:00,"","","","com",0,0,1,20/07/2008 00:00,20/07/2008 00:00
73,"clubwear-sexy-clubwear.com",10,-1,1,1,4574,174645,72205,09/01/2008 00:00,27/09/2008 00:00,"81.28.232.69","81.28.232.0","DE","com",0,0,1,02/07/2008 00:00,02/07/2008 00:00
74,"cnysuite.com",31,-1,1,1,41,19111,17753,18/01/2008 00:00,11/02/2013 00:00,"50.22.11.10","50.22.11.0","US","com",4,4,1,13/02/2008 00:00,13/02/2008 00:00
75,"cosmetic-dentistry-us.com",493,-1,1,1,775,592,454,24/05/2008 00:00,27/07/2013 00:00,"173.212.56.242","173.212.56.0","US","com",15,8,1,15/02/2008 00:00,15/02/2008 00:00
76,"cosmeticdentistrypractice.com",39,-1,1,1,2499,103,89,11/01/2008 00:00,17/06/2008 00:00,"67.215.66.132","67.215.66.0","US","com",5,5,1,11/01/2008 00:00,11/01/2008 00:00
77,"dentalcareportal.com",61,-1,1,1,391,459,344,22/01/2008 00:00,13/06/2012 00:00,"69.89.22.138","69.89.22.0","US","com",4,0,1,22/01/2008 00:00,22/01/2008 00:00
78,"dunola.com",3496,-1,1,1,72280,37687,24942,11/02/2008 00:00,31/07/2013 00:00,"184.172.177.192","184.172.177.0","US","com",14,3,1,26/04/2008 00:00,26/04/2008 00:00
79,"fashpoo.com",1586,-1,1,1,52271,41228,37072,15/01/2008 00:00,07/08/2012 00:00,"208.73.211.152","208.73.211.0","US","com",15,16,1,05/07/2008 00:00,05/07/2008 00:00
80,"findhealtharticles.com",1883,-1,1,1,8792,26574,15887,15/01/2008 00:00,10/08/2013 00:00,"210.188.195.35","210.188.195.0","JP","com",12,5,1,02/08/2008 00:00,02/08/2008 00:00
81,"getyourkeywords.com",1002,-1,1,1,15725232,736153,463342,18/07/2010 00:00,13/02/2013 00:00,"69.43.161.165","69.43.161.0","US","com",7,1,1,29/08/2010 00:00,29/08/2010 00:00
82,"hldental.com",36,-1,1,1,79,705,534,08/11/2009 00:00,12/07/2011 00:00,"208.73.210.29","208.73.210.0","US","com",5,0,1,10/01/2008 00:00,10/01/2008 00:00
83,"it-credit.com",5,-1,1,1,8,8279,1384,24/12/2012 00:00,28/07/2013 00:00,"87.238.248.96","87.238.248.0","DK","com",4,0,1,12/02/2008 00:00,12/02/2008 00:00
84,"whiteningteeths.com",121,-1,1,1,300,305,292,25/03/2008 00:00,30/07/2013 00:00,"184.168.221.96","184.168.221.0","US","com",7,0,1,11/01/2008 00:00,11/01/2008 00:00
85,"usaround.com",462,-1,1,1,4548,77576,36342,03/09/2008 00:00,28/02/2009 00:00,"68.180.151.76","68.180.151.0","US","com",9,7,1,09/11/2008 00:00,09/11/2008 00:00
86,"thetytelyfe.com",397,-1,1,1,1092,87114,50894,22/10/2008 00:00,10/08/2013 00:00,"72.167.131.127","72.167.131.0","US","com",8,1,1,15/05/2013 00:00,15/05/2013 00:00
87,"thetobaccofarm.com",2,-1,1,1,2,376,305,14/01/2008 00:00,24/02/2009 00:00,"","","","com",0,0,1,14/01/2008 00:00,14/01/2008 00:00
88,"theinfopointer.com",155,-1,1,1,474,126847,78776,20/01/2008 00:00,07/06/2013 00:00,"202.172.28.156","202.172.28.0","JP","com",6,3,1,07/02/2008 00:00,07/02/2008 00:00
89,"the-akashic-records.com",271,-1,1,1,8558,1895,1872,05/02/2008 00:00,27/07/2013 00:00,"74.208.25.92","74.208.25.0","US","com",9,6,1,13/09/2009 00:00,26/09/2012 00:00
90,"tech9.de",14,-1,1,1,29,2131,1643,13/01/2008 00:00,15/07/2008 00:00,"91.195.241.121","91.195.241.0","DE","de",0,0,1,22/05/2008 00:00,22/05/2008 00:00
91,"spotlightseniorserviceslasvegas.com",8,-1,1,1,47,18,3,18/07/2013 00:00,,"216.172.175.68","216.172.175.0","US","com",5,3,1,11/10/2012 00:00,07/07/2013 00:00
92,"smooz.com",1,-1,1,1,1,1417542,1417542,01/02/2008 00:00,10/08/2013 00:00,"174.46.70.60","174.46.70.0","US","com",0,0,1,22/06/2010 00:00,22/06/2010 00:00
93,"physicianscamlive.com",319,-1,1,1,767,269,141,16/08/2010 00:00,27/01/2013 00:00,"64.95.64.190","64.95.64.0","US","com",0,0,1,19/02/2011 00:00,19/02/2011 00:00
94,"medicaldnld.com",22,-1,1,1,52,1604,1597,09/01/2008 00:00,02/12/2008 00:00,"","","","com",0,0,1,09/01/2008 00:00,09/01/2008 00:00
95,"make-up-makeup.com",139,-1,1,1,1032,8595,8542,12/01/2008 00:00,03/07/2013 00:00,"210.129.163.88","210.129.163.0","JP","com",10,2,1,28/01/2009 00:00,28/01/2009 00:00
96,"lingerie-24.com",4,-1,1,1,193,199385,82463,09/01/2008 00:00,27/06/2013 00:00,"68.178.232.100","68.178.232.0","US","com",0,0,1,28/07/2008 00:00,28/07/2008 00:00
97,"las-vegas-directory.com",4,-1,1,1,10,105,104,02/09/2012 00:00,07/08/2013 00:00,"70.86.108.170","70.86.108.0","US","com",4,0,1,27/02/2008 00:00,29/06/2013 00:00
98,"spotlightseniorservices.com",242,-1,1,1,16252,1147,520,10/02/2008 00:00,09/08/2013 00:00,"209.157.71.122","209.157.71.0","US","com",15,10,1,09/11/2011 00:00,30/06/2013 00:00
99,"cosmeticsz.co.uk",151,-1,1,1,8747,1211,1166,10/02/2008 00:00,22/07/2013 00:00,"5.133.198.138","5.133.198.0","SE","uk",7,3,1,10/02/2008 00:00,10/02/2008 00:00
