"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_cardealership.com","FirstLinkDate_cardealership.com","LastLinkDate_cardealership.com"
21,"howtoplayinstruments.com",1213,-1,1,105,6787,132615,95069,20/06/2012 00:00,10/08/2013 00:00,"50.21.182.75","50.21.182.0","US","com",16,2,105,11/01/2013 00:00,07/03/2013 00:00
22,"joshcopeland.com",92,-1,1,98,491,2088,827,28/04/2011 00:00,09/08/2013 00:00,"74.50.25.165","74.50.25.0","US","com",6,0,98,21/11/2011 00:00,21/11/2011 00:00
23,"iamsupergorge.com",2357,471930,1,91,50111,199115,88690,07/04/2011 00:00,10/08/2013 00:00,"72.167.1.1","72.167.1.0","US","com",38,11,91,23/11/2011 00:00,23/11/2011 00:00
24,"itouchreviews.com",119,-1,1,89,375,14509,4740,27/10/2010 00:00,10/08/2013 00:00,"50.16.190.132","50.16.190.0","US","com",14,4,89,21/11/2011 00:00,21/11/2011 00:00
25,"alfredho.org",313,-1,1,84,1275,1445,1362,06/05/2011 00:00,27/07/2013 00:00,"50.22.80.7","50.22.80.0","US","org",24,0,84,29/11/2011 00:00,23/02/2013 00:00
26,"lexuslvopen.com",85,-1,1,81,783,300,171,14/08/2012 00:00,07/08/2013 00:00,"184.168.221.73","184.168.221.0","US","com",16,2,81,21/08/2010 00:00,12/10/2010 00:00
27,"jas-khanna.com",381,-1,1,79,15213,3428,2576,27/10/2010 00:00,26/07/2013 00:00,"174.121.188.5","174.121.188.0","US","com",11,0,79,22/11/2011 00:00,22/11/2011 00:00
28,"chauffeurcenter.net",2739,564646,1,67,45755,2228006,189414,16/08/2009 00:00,10/08/2013 00:00,"74.81.215.209","74.81.215.0","US","net",12,8,67,18/12/2010 00:00,03/04/2012 00:00
29,"pinbud.com",3773,116330,1,62,2339532,4787861,621618,16/03/2010 00:00,10/08/2013 00:00,"109.163.236.171","109.163.236.0","DE","com",34,21,62,05/12/2012 00:00,07/12/2012 00:00
30,"netlook.com",3512,474283,1,60,3753601,1036499,290759,17/01/2008 00:00,10/08/2013 00:00,"23.21.178.1","23.21.178.0","US","com",25,12,60,25/06/2013 00:00,25/06/2013 00:00
31,"lexusdealer.com",1078,-1,1,60,24529,52371,38990,29/01/2008 00:00,10/08/2013 00:00,"216.241.219.102","216.241.219.0","US","com",19,18,60,01/05/2013 00:00,05/08/2013 00:00
32,"immersionfreediving.com",425,-1,1,56,6943,6211,3043,08/11/2011 00:00,09/08/2013 00:00,"98.129.229.188","98.129.229.0","US","com",29,18,56,05/12/2011 00:00,05/12/2011 00:00
33,"memorexa.com",5875,-1,1,54,2583906,976949,538162,09/01/2008 00:00,22/06/2012 00:00,"67.15.247.197","67.15.247.0","US","com",19,14,54,27/04/2008 00:00,11/05/2008 00:00
34,"pramsite.com",399,-1,1,52,2178,1517,805,04/09/2008 00:00,25/03/2013 00:00,"184.173.212.188","184.173.212.0","US","com",10,0,52,06/12/2011 00:00,06/12/2011 00:00
35,"sharepointjungle.com",201,-1,1,51,1597,75832,55678,11/06/2011 00:00,10/08/2013 00:00,"173.201.97.1","173.201.97.0","US","com",13,1,51,25/03/2013 00:00,25/03/2013 00:00
36,"akolob.com",81,-1,1,51,430,416,250,30/11/2009 00:00,27/01/2013 00:00,"49.50.249.50","49.50.249.0","NZ","com",7,1,51,22/11/2011 00:00,22/11/2011 00:00
37,"bestbidmotors.com",187,-1,1,51,5113,5439,5110,07/02/2008 00:00,12/03/2013 00:00,"64.95.64.190","64.95.64.0","US","com",8,3,51,07/02/2008 00:00,28/02/2008 00:00
38,"ech24.org",71,-1,1,51,349,62721,48886,23/02/2013 00:00,10/08/2013 00:00,"66.96.147.104","66.96.147.0","US","org",13,1,51,20/06/2013 00:00,20/06/2013 00:00
39,"newestinfo.info",167,-1,1,47,1803,35114,20993,01/04/2011 00:00,01/04/2013 00:00,"50.63.202.81","50.63.202.0","US","info",8,0,47,23/11/2011 00:00,26/11/2011 00:00
40,"flexfinder.com",2309,-1,1,47,9023,1896499,189389,07/02/2008 00:00,09/01/2013 00:00,"67.215.66.132","67.215.66.0","US","com",12,25,47,04/10/2010 00:00,15/10/2010 00:00
41,"hotelsfl.org",542,-1,1,45,2754,22924,18317,22/10/2010 00:00,17/05/2013 00:00,"216.172.186.112","216.172.186.0","US","org",10,2,45,21/11/2011 00:00,18/12/2011 00:00
42,"newlenz.com",254,-1,1,44,1774870,9644,6956,28/08/2009 00:00,10/08/2013 00:00,"216.157.88.18","216.157.88.0","US","com",10,0,44,06/12/2011 00:00,06/12/2011 00:00
43,"rf.ro",832,-1,1,40,8373,20369,11307,11/10/2010 00:00,10/08/2013 00:00,"93.113.193.13","93.113.193.0","RO","ro",21,4,40,22/11/2011 00:00,06/12/2011 00:00
44,"alnajafi.net",142,-1,1,39,5342,55596,28263,13/06/2012 00:00,31/07/2013 00:00,"174.121.3.62","174.121.3.0","US","net",15,5,39,23/06/2013 00:00,23/06/2013 00:00
45,"powerscript.net",23,-1,1,37,3003,2192,1611,21/11/2010 00:00,10/08/2013 00:00,"208.87.35.103","208.87.35.0","BS","net",8,1,37,27/11/2011 00:00,09/01/2012 00:00
46,"budgetbusinessservices.com",360,-1,1,37,2101,25482,21148,14/01/2013 00:00,10/08/2013 00:00,"184.170.144.73","184.170.144.0","US","com",18,4,37,28/02/2013 00:00,02/03/2013 00:00
47,"youtube.com",17319452,3,1,34,34644217537,4221017727,260419341,09/01/2008 00:00,10/08/2013 00:00,"74.125.226.206","74.125.226.0","US","com",98,99,34,09/03/2010 00:00,09/12/2011 00:00
48,"howardfrenia.com",101,-1,1,33,742,1691,1658,19/06/2012 00:00,30/07/2013 00:00,"184.172.150.20","184.172.150.0","US","com",14,1,33,25/02/2013 00:00,16/07/2013 00:00
49,"usfaddicts.net",331,-1,1,33,7200,17334,7462,20/11/2010 00:00,10/08/2013 00:00,"74.86.182.35","74.86.182.0","US","net",25,5,33,01/01/2012 00:00,01/01/2012 00:00
50,"72pines.com",14668,-1,1,32,997423,458723,246035,17/01/2008 00:00,30/07/2013 00:00,"66.63.174.41","66.63.174.0","US","com",23,22,32,01/12/2011 00:00,08/12/2011 00:00
51,"wellnesspacificcoast.com",215,-1,1,31,3255,2639,2173,01/06/2010 00:00,10/01/2013 00:00,"66.147.242.166","66.147.242.0","US","com",8,1,31,22/11/2011 00:00,07/12/2011 00:00
52,"birdparadise.tk",476,-1,1,31,10752,70819,10591,11/12/2010 00:00,10/08/2013 00:00,"93.170.52.31","93.170.52.0","CZ","tk",9,2,31,21/11/2011 00:00,21/11/2011 00:00
53,"greenindonesia.net",416,-1,1,30,2940,452,349,26/07/2008 00:00,08/08/2013 00:00,"69.163.192.6","69.163.192.0","US","net",14,3,30,04/12/2011 00:00,04/12/2011 00:00
54,"specialcaroffers.com",55,-1,1,30,184,1058,877,08/06/2013 00:00,10/08/2013 00:00,"","","","com",1,0,30,26/04/2013 00:00,08/06/2013 00:00
55,"realresultsfitness.com",463,-1,1,30,2341,1734,1464,24/02/2009 00:00,30/07/2013 00:00,"174.120.41.187","174.120.41.0","US","com",16,13,30,29/04/2010 00:00,09/06/2010 00:00
56,"cancanyou.com",685,861621,1,29,6315,322867,137431,05/12/2012 00:00,10/08/2013 00:00,"118.139.175.1","118.139.175.0","SG","com",17,14,29,09/03/2013 00:00,09/03/2013 00:00
57,"irvinsammons.net",40,-1,1,29,807,963,845,07/02/2011 00:00,10/08/2013 00:00,"41.76.209.59","41.76.209.0","ZA","net",17,0,29,30/11/2011 00:00,19/10/2012 00:00
58,"indoorherbgardenkit.com",1315,-1,1,28,9561,66670,16028,06/01/2011 00:00,07/08/2013 00:00,"67.215.77.132","67.215.77.0","US","com",9,7,28,27/11/2011 00:00,06/12/2011 00:00
59,"lowestequityrates.info",1754,-1,1,28,30787,213687,184056,16/04/2010 00:00,10/08/2013 00:00,"208.73.211.152","208.73.211.0","US","info",26,3,28,20/11/2011 00:00,22/11/2011 00:00
60,"affiliatemakemoney.com",455,-1,1,28,3502,46214,23146,10/01/2008 00:00,09/08/2013 00:00,"74.52.151.18","74.52.151.0","US","com",13,2,28,22/11/2011 00:00,17/02/2012 00:00
61,"domainjr.com",1777,-1,1,27,1147280,2279568,404802,24/01/2010 00:00,10/08/2013 00:00,"50.97.213.178","50.97.213.0","US","com",12,3,27,24/10/2011 00:00,30/06/2012 00:00
62,"explorewww.com",2122,718691,1,26,41608,12707058,891530,08/12/2008 00:00,10/08/2013 00:00,"199.217.117.32","199.217.117.0","US","com",21,10,26,05/11/2009 00:00,05/11/2009 00:00
63,"flaviofagundes.com.br",113,-1,1,26,9051,702,470,08/11/2011 00:00,08/08/2013 00:00,"64.111.127.114","64.111.127.0","US","br",9,3,26,25/11/2011 00:00,15/02/2012 00:00
64,"trusteddealernetwork.com",68,-1,1,26,10412,85478,36677,11/10/2010 00:00,10/08/2013 00:00,"72.3.179.172","72.3.179.0","US","com",6,0,26,03/03/2013 00:00,03/03/2013 00:00
65,"highsidemotorsports.com",658,-1,1,25,16927,1483736,331724,15/02/2010 00:00,10/08/2013 00:00,"206.214.222.173","206.214.222.0","US","com",14,2,25,29/11/2011 00:00,05/04/2012 00:00
66,"fossfotography.com",60,-1,1,25,1025,12560,11181,18/02/2009 00:00,07/08/2013 00:00,"173.201.146.128","173.201.146.0","US","com",14,11,25,21/11/2011 00:00,21/11/2011 00:00
67,"blackdating-club.com",0,-1,1,24,0,277417,277417,07/02/2008 00:00,05/09/2009 00:00,"208.73.211.14","208.73.211.0","US","com",0,0,24,22/02/2009 00:00,28/05/2009 00:00
68,"timrosenblatt.com",480,-1,1,24,3586,2242,2108,24/09/2008 00:00,07/08/2013 00:00,"216.119.134.66","216.119.134.0","US","com",23,7,24,27/11/2011 00:00,20/12/2011 00:00
69,"linkbags.info",1665,-1,1,23,27743,5957,3825,13/04/2011 00:00,10/08/2013 00:00,"66.219.24.82","66.219.24.0","US","info",25,10,23,25/11/2011 00:00,26/11/2011 00:00
70,"darienlakeblog.com",269,-1,1,23,11328,11643,4838,07/08/2010 00:00,10/08/2013 00:00,"174.36.161.130","174.36.161.0","US","com",16,9,23,22/11/2011 00:00,22/11/2011 00:00
71,"swapnilghosh.tk",18,-1,1,23,162,507,387,04/11/2010 00:00,29/02/2012 00:00,"209.190.85.24","209.190.85.0","US","tk",6,0,23,23/11/2011 00:00,23/11/2011 00:00
72,"uuaide.com",426,-1,1,23,10518,95586,46435,06/09/2010 00:00,31/07/2013 00:00,"208.87.35.103","208.87.35.0","BS","com",12,0,23,10/01/2012 00:00,15/06/2012 00:00
73,"wd-search.com",5744,456692,1,22,122335,2238060,1279132,28/01/2008 00:00,12/02/2013 00:00,"82.194.90.113","82.194.90.0","ES","com",16,10,22,05/04/2009 00:00,03/10/2010 00:00
74,"farmvillepost.com",866,-1,1,22,4266,37321,11331,05/10/2010 00:00,23/07/2013 00:00,"67.215.66.132","67.215.66.0","US","com",16,3,22,22/11/2011 00:00,22/11/2011 00:00
75,"global-montenegro.com",839,-1,1,22,2937,49879,44502,19/03/2008 00:00,10/08/2013 00:00,"77.234.130.30","77.234.130.0","SI","com",16,6,22,10/03/2013 00:00,10/03/2013 00:00
76,"itsadirectory.com",444,-1,1,21,20573,6568,2977,25/05/2008 00:00,17/12/2012 00:00,"208.73.211.152","208.73.211.0","US","com",8,5,21,21/11/2011 00:00,21/11/2011 00:00
77,"juicyfinder.com",4246,179735,1,20,179902,3343181,197294,07/11/2010 00:00,05/04/2013 00:00,"206.225.92.108","206.225.92.0","US","com",16,7,20,29/04/2011 00:00,17/01/2013 00:00
78,"gemgemgem.com",0,-1,1,20,0,387169,387169,09/02/2008 00:00,07/08/2013 00:00,"184.168.221.53","184.168.221.0","US","com",0,0,20,22/01/2009 00:00,27/05/2009 00:00
79,"autopointsite.com",116,-1,1,20,1224,151,123,16/09/2010 00:00,08/08/2013 00:00,"208.53.52.66","208.53.52.0","US","com",16,16,20,30/07/2012 00:00,23/09/2012 00:00
80,"yeahreview.com",517,-1,1,20,2584,33447,17488,04/06/2010 00:00,06/04/2013 00:00,"50.63.202.83","50.63.202.0","US","com",8,0,20,26/11/2011 00:00,26/11/2011 00:00
81,"ontowns.com",3374,-1,1,20,60127,6401713,1512082,16/01/2008 00:00,10/08/2013 00:00,"192.41.14.2","192.41.14.0","US","com",23,14,20,20/10/2008 00:00,20/10/2008 00:00
82,"1tvs.net",765,-1,1,19,10728,24444,15187,16/04/2011 00:00,10/08/2013 00:00,"46.165.220.73","46.165.220.0","DE","net",30,2,19,22/11/2011 00:00,22/11/2011 00:00
83,"mengems.com",0,-1,1,19,0,631075,631075,04/07/2008 00:00,03/01/2012 00:00,"67.215.77.132","67.215.77.0","US","com",0,0,19,29/01/2009 00:00,29/05/2009 00:00
84,"ckiusa.com",119,-1,1,19,1000,2191,1471,18/01/2008 00:00,07/08/2013 00:00,"176.74.176.167","176.74.176.0","UK","com",12,4,19,05/10/2008 00:00,05/10/2008 00:00
85,"blogspot.com",10026461,11,1,18,30390382927,4792000861,276091166,09/01/2008 00:00,10/08/2013 00:00,"173.194.73.191","173.194.73.0","US","com",95,90,18,11/11/2008 00:00,13/11/2011 00:00
86,"ntct.edu.tw",66767,155862,1,18,3941588,4390421,739703,24/01/2008 00:00,10/08/2013 00:00,"163.22.168.116","163.22.168.0","TW","tw",34,36,18,01/02/2012 00:00,01/02/2012 00:00
87,"dyns.cx",12544,571495,1,18,5507552,1724201,622233,24/01/2008 00:00,10/08/2013 00:00,"213.232.93.27","213.232.93.0","UK","cx",48,22,18,22/09/2009 00:00,06/01/2012 00:00
88,"jurekozuh.org",843,-1,1,18,15757,7337,4263,24/06/2008 00:00,13/09/2012 00:00,"67.215.66.132","67.215.66.0","US","org",8,5,18,05/12/2011 00:00,12/12/2011 00:00
89,"infomoto3.com",619,-1,1,18,22199,2273,663,27/05/2011 00:00,15/07/2013 00:00,"184.107.63.247","184.107.63.0","CA","com",14,4,18,06/12/2011 00:00,06/12/2011 00:00
90,"footballworldholic.info",293,-1,1,18,6315,223082,59811,03/05/2011 00:00,21/07/2013 00:00,"176.74.176.167","176.74.176.0","UK","info",8,0,18,29/11/2011 00:00,01/02/2012 00:00
91,"revelations-guild.com",11657,-1,1,17,215108,27159,17435,01/05/2008 00:00,30/07/2013 00:00,"69.89.31.78","69.89.31.0","US","com",15,5,17,21/11/2011 00:00,18/12/2011 00:00
92,"my-mlm-journey.com",218,-1,1,17,3948,227,153,14/08/2012 00:00,10/08/2013 00:00,"74.220.219.65","74.220.219.0","US","com",14,1,17,27/11/2011 00:00,25/03/2013 00:00
93,"thebowlingspot.com",1174,-1,1,17,3279,7714,6061,07/06/2010 00:00,31/07/2013 00:00,"184.172.141.216","184.172.141.0","US","com",19,1,17,23/11/2011 00:00,23/11/2011 00:00
94,"avantfind.com",6638,-1,1,17,4264149,14189525,500520,09/01/2008 00:00,10/08/2013 00:00,"207.228.252.98","207.228.252.0","US","com",35,19,17,24/08/2009 00:00,03/12/2012 00:00
95,"mostinside.com",532,-1,1,17,12553,95778,24527,09/07/2010 00:00,09/08/2013 00:00,"66.147.244.133","66.147.244.0","US","com",19,1,17,21/11/2011 00:00,21/11/2011 00:00
96,"zombieschool.org",79,-1,1,17,587,1020,857,29/12/2010 00:00,05/04/2012 00:00,"8.5.1.43","8.5.1.0","US","org",8,7,17,21/11/2011 00:00,30/11/2011 00:00
97,"xposted.com",226,-1,1,17,1974,8268,6621,20/09/2009 00:00,25/07/2013 00:00,"69.43.161.174","69.43.161.0","US","com",17,5,17,04/12/2011 00:00,06/12/2011 00:00
98,"joie.ro",110,-1,1,17,5632,4518,2003,18/09/2010 00:00,11/01/2012 00:00,"67.215.77.132","67.215.77.0","US","ro",9,7,17,22/11/2011 00:00,25/11/2011 00:00
99,"my-cool-bbq.info",2,-1,1,16,210,159294,159293,06/05/2010 00:00,02/01/2011 00:00,"50.22.11.10","50.22.11.0","US","info",10,0,16,27/09/2010 00:00,27/09/2010 00:00
100,"dmzp.info",68,-1,1,16,1055,1017,488,30/10/2008 00:00,10/08/2013 00:00,"66.147.244.68","66.147.244.0","US","info",10,1,16,11/07/2012 00:00,21/08/2012 00:00
101,"chauffeurcenter.me.uk",201,-1,1,16,3767,446351,45164,09/08/2010 00:00,02/06/2013 00:00,"74.81.215.209","74.81.215.0","US","uk",5,0,16,13/10/2011 00:00,05/06/2012 00:00
102,"nskkite.nl",49,-1,1,16,1474,789,223,19/09/2010 00:00,01/07/2013 00:00,"193.202.110.161","193.202.110.0","NL","nl",9,6,16,21/11/2011 00:00,21/11/2011 00:00
103,"free-gift-certificate-template.com",1207,-1,1,16,8011,3075,2350,04/06/2010 00:00,10/08/2013 00:00,"208.87.35.103","208.87.35.0","BS","com",19,1,16,01/12/2011 00:00,10/02/2012 00:00
104,"gettheproof.com",97,-1,1,15,506,14206,9256,20/03/2011 00:00,10/08/2013 00:00,"97.74.215.142","97.74.215.0","US","com",10,3,15,27/02/2013 00:00,27/02/2013 00:00
105,"anaaceves.com",201,-1,1,15,7739,2369,985,13/04/2008 00:00,10/08/2013 00:00,"209.249.66.100","209.249.66.0","NA","com",24,12,15,25/11/2011 00:00,25/11/2011 00:00
106,"master-mine.co.cc",52,-1,1,15,567,1051,908,05/04/2010 00:00,12/11/2012 00:00,"78.29.1.22","78.29.1.0","RU","cc",6,3,15,26/11/2011 00:00,22/12/2011 00:00
107,"brianleamon.com",57,-1,1,15,4053,3347,3199,22/12/2012 00:00,10/08/2013 00:00,"184.170.147.18","184.170.147.0","US","com",13,1,15,24/02/2013 00:00,30/06/2013 00:00
108,"springspreserve.org",5260,510476,1,14,77921,164378,94300,25/01/2008 00:00,10/08/2013 00:00,"205.159.85.8","205.159.85.0","US","org",38,32,14,30/08/2012 00:00,24/09/2012 00:00
109,"uzax.us",14,-1,1,14,1778,22362,1265,06/10/2011 00:00,09/10/2011 00:00,"184.172.161.80","184.172.161.0","US","us",4,0,14,06/10/2011 00:00,06/10/2011 00:00
110,"free-vps.info",91,-1,1,14,6886,45881,33212,10/09/2010 00:00,09/08/2013 00:00,"208.87.35.103","208.87.35.0","BS","info",8,0,14,22/11/2011 00:00,25/11/2011 00:00
111,"100autoguide.com",1373,-1,1,14,44477,191359,79958,09/01/2008 00:00,10/08/2013 00:00,"66.96.131.80","66.96.131.0","US","com",29,17,14,30/04/2008 00:00,15/01/2011 00:00
112,"liveenzymes.com",79,-1,1,14,682,2537,724,06/11/2008 00:00,24/12/2012 00:00,"50.63.202.12","50.63.202.0","US","com",8,2,14,28/11/2011 00:00,06/12/2011 00:00
113,"spamjam.ch",54,-1,1,14,2166,228,177,19/01/2011 00:00,01/03/2012 00:00,"217.26.52.11","217.26.52.0","CH","ch",8,3,14,23/11/2011 00:00,01/03/2012 00:00
114,"defreunde.de",136,-1,1,14,1351,133936,26699,27/12/2009 00:00,18/07/2013 00:00,"84.201.46.245","84.201.46.0","DE","de",10,4,14,07/12/2011 00:00,07/12/2011 00:00
115,"lesyeuxcarres.com",34,-1,1,14,257,897,401,24/01/2011 00:00,08/08/2013 00:00,"213.186.33.2","213.186.33.0","FR","com",16,6,14,14/08/2012 00:00,14/08/2012 00:00
116,"popo.lt",3189,404545,1,13,1004809,145377,97609,22/09/2009 00:00,10/08/2013 00:00,"92.61.38.106","92.61.38.0","LT","lt",43,22,13,03/12/2011 00:00,17/04/2012 00:00
117,"comenius-exchange.eu",54,-1,1,13,320,1011,732,25/11/2011 00:00,10/08/2013 00:00,"37.230.96.166","37.230.96.0","NL","eu",18,3,13,21/11/2011 00:00,07/12/2011 00:00
118,"raymondkolbe.com",46,-1,1,13,342,890,587,13/06/2010 00:00,09/08/2013 00:00,"69.89.31.166","69.89.31.0","US","com",13,4,13,29/11/2011 00:00,20/12/2011 00:00
119,"rconlinedeals.info",1895,-1,1,13,30811,149454,64712,07/07/2010 00:00,10/08/2013 00:00,"174.120.116.253","174.120.116.0","US","info",16,3,13,22/04/2013 00:00,23/04/2013 00:00
120,"ascentauto.com",70,-1,1,13,1860,340,211,14/02/2008 00:00,10/12/2009 00:00,"64.246.47.13","64.246.47.0","US","com",6,0,13,15/05/2008 00:00,18/10/2008 00:00
121,"yellowpages.com",331984,559,1,12,43366383,90346516,1438715,09/01/2008 00:00,10/08/2013 00:00,"208.93.105.105","208.93.105.0","US","com",58,61,12,02/05/2010 00:00,08/02/2013 00:00
122,"littlewebdirectory.com",20817,14589,1,12,4525810,2185125,360823,11/01/2008 00:00,10/08/2013 00:00,"208.109.138.201","208.109.138.0","US","com",37,31,12,25/08/2012 00:00,25/08/2012 00:00
123,"bigwigbiz.com",1171,193953,1,12,9781,23793,15142,12/02/2008 00:00,10/08/2013 00:00,"207.150.207.137","207.150.207.0","US","com",15,7,12,05/03/2013 00:00,07/03/2013 00:00
124,"bluboxlive.com",1015,-1,1,12,5027,5616,2578,28/02/2008 00:00,07/05/2012 00:00,"92.42.70.10","92.42.70.0","NO","com",8,2,12,28/11/2011 00:00,24/04/2012 00:00
125,"asksearch.me",401,-1,1,12,2593,2500966,437847,26/09/2010 00:00,30/01/2013 00:00,"67.215.77.132","67.215.77.0","US","me",8,0,12,04/11/2010 00:00,17/02/2011 00:00
126,"urbanmusicawards.net",3628,-1,1,12,26606,29358,15545,30/01/2008 00:00,10/08/2013 00:00,"82.165.87.118","82.165.87.0","DE","net",26,17,12,06/12/2011 00:00,13/12/2011 00:00
127,"ilove.ky",379,-1,1,12,1540,15115,14269,17/05/2011 00:00,10/08/2013 00:00,"174.133.8.250","174.133.8.0","US","ky",15,2,12,25/11/2011 00:00,25/11/2011 00:00
128,"autosellingsuccess.com",2,-1,1,12,6,111,100,05/07/2013 00:00,08/08/2013 00:00,"67.222.32.208","67.222.32.0","US","com",9,1,12,09/04/2013 00:00,05/07/2013 00:00
129,"sunwukong.ws",1959,-1,1,12,127461,1867896,782623,22/01/2010 00:00,10/08/2013 00:00,"50.63.133.120","50.63.133.0","US","ws",16,14,12,15/07/2010 00:00,15/07/2010 00:00
130,"luissoria.org",16,-1,1,12,32,725,593,19/04/2011 00:00,05/08/2013 00:00,"66.96.160.134","66.96.160.0","US","org",9,0,12,25/11/2011 00:00,25/11/2011 00:00
131,"seattleontheweb.com",35,-1,1,12,547,95007,15279,03/02/2008 00:00,12/12/2008 00:00,"67.215.77.132","67.215.77.0","US","com",0,0,12,30/07/2008 00:00,30/07/2008 00:00
132,"metadns.cx",8401,-1,1,12,5621814,2505001,639231,09/04/2008 00:00,10/08/2013 00:00,"213.232.93.27","213.232.93.0","UK","cx",29,13,12,29/09/2009 00:00,02/12/2009 00:00
133,"marenguse.com",190,-1,1,12,1334,5350,2758,18/06/2009 00:00,10/08/2013 00:00,"72.167.232.83","72.167.232.0","US","com",14,9,12,22/11/2011 00:00,22/11/2011 00:00
134,"bytechase.cx",8408,-1,1,12,5461639,1429747,507877,23/01/2008 00:00,10/08/2013 00:00,"82.98.86.169","82.98.86.0","DE","cx",29,4,12,27/09/2009 00:00,14/10/2009 00:00
