"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_distinctivedesignvegas.com","FirstLinkDate_distinctivedesignvegas.com","LastLinkDate_distinctivedesignvegas.com"
35,"flaviofagundes.com.br",113,-1,1,28,9051,702,470,08/11/2011 00:00,08/08/2013 00:00,"64.111.127.114","64.111.127.0","US","br",9,3,28,25/11/2011 00:00,15/02/2012 00:00
36,"fossfotography.com",60,-1,1,27,1025,12560,11181,18/02/2009 00:00,07/08/2013 00:00,"173.201.146.128","173.201.146.0","US","com",14,11,27,21/11/2011 00:00,21/11/2011 00:00
37,"highsidemotorsports.com",658,-1,1,25,16927,1483736,331724,15/02/2010 00:00,10/08/2013 00:00,"206.214.222.173","206.214.222.0","US","com",14,2,25,02/12/2011 00:00,14/06/2012 00:00
38,"itsadirectory.com",444,-1,1,25,20573,6568,2977,25/05/2008 00:00,17/12/2012 00:00,"208.73.211.152","208.73.211.0","US","com",8,5,25,21/11/2011 00:00,21/11/2011 00:00
39,"72pines.com",14668,-1,1,24,997423,458723,246035,17/01/2008 00:00,30/07/2013 00:00,"66.63.174.41","66.63.174.0","US","com",23,22,24,01/12/2011 00:00,08/12/2011 00:00
40,"yeahreview.com",517,-1,1,24,2584,33447,17488,04/06/2010 00:00,06/04/2013 00:00,"50.63.202.83","50.63.202.0","US","com",8,0,24,26/11/2011 00:00,26/11/2011 00:00
41,"darienlakeblog.com",269,-1,1,23,11328,11643,4838,07/08/2010 00:00,10/08/2013 00:00,"174.36.161.130","174.36.161.0","US","com",16,9,23,22/11/2011 00:00,22/11/2011 00:00
42,"brianleamon.com",57,-1,1,23,4053,3347,3199,22/12/2012 00:00,10/08/2013 00:00,"184.170.147.18","184.170.147.0","US","com",13,1,23,04/12/2012 00:00,01/07/2013 00:00
43,"revelations-guild.com",11657,-1,1,21,215108,27159,17435,01/05/2008 00:00,30/07/2013 00:00,"69.89.31.78","69.89.31.0","US","com",15,5,21,21/11/2011 00:00,18/12/2011 00:00
44,"uuaide.com",426,-1,1,21,10518,95586,46435,06/09/2010 00:00,31/07/2013 00:00,"208.87.35.103","208.87.35.0","BS","com",12,0,21,10/01/2012 00:00,20/06/2012 00:00
45,"timrosenblatt.com",480,-1,1,21,3586,2242,2108,24/09/2008 00:00,07/08/2013 00:00,"216.119.134.66","216.119.134.0","US","com",23,7,21,29/11/2011 00:00,20/12/2011 00:00
46,"gnn.com.ng",1473,-1,1,21,29827,271524,167086,22/03/2010 00:00,14/11/2012 00:00,"173.201.92.1","173.201.92.0","US","ng",11,8,21,22/11/2011 00:00,22/11/2011 00:00
47,"gettheproof.com",97,-1,1,20,506,14206,9256,20/03/2011 00:00,10/08/2013 00:00,"97.74.215.142","97.74.215.0","US","com",10,3,20,27/02/2013 00:00,27/02/2013 00:00
48,"linkbags.info",1665,-1,1,20,27743,5957,3825,13/04/2011 00:00,10/08/2013 00:00,"66.219.24.82","66.219.24.0","US","info",25,10,20,22/11/2011 00:00,26/12/2011 00:00
49,"1tvs.net",765,-1,1,20,10728,24444,15187,16/04/2011 00:00,10/08/2013 00:00,"46.165.220.73","46.165.220.0","DE","net",30,2,20,22/11/2011 00:00,22/11/2011 00:00
50,"joie.ro",110,-1,1,18,5632,4518,2003,18/09/2010 00:00,11/01/2012 00:00,"67.215.77.132","67.215.77.0","US","ro",9,7,18,21/11/2011 00:00,25/11/2011 00:00
51,"farmvillepost.com",866,-1,1,18,4266,37321,11331,05/10/2010 00:00,23/07/2013 00:00,"67.215.66.132","67.215.66.0","US","com",16,3,18,21/11/2011 00:00,21/11/2011 00:00
52,"rconlinedeals.info",1895,-1,1,18,30811,149454,64712,07/07/2010 00:00,10/08/2013 00:00,"174.120.116.253","174.120.116.0","US","info",16,3,18,25/11/2011 00:00,25/11/2011 00:00
53,"lesyeuxcarres.com",34,-1,1,17,257,897,401,24/01/2011 00:00,08/08/2013 00:00,"213.186.33.2","213.186.33.0","FR","com",16,6,17,25/07/2012 00:00,14/08/2012 00:00
54,"jurekozuh.org",843,-1,1,17,15757,7337,4263,24/06/2008 00:00,13/09/2012 00:00,"67.215.66.132","67.215.66.0","US","org",8,5,17,05/12/2011 00:00,08/12/2011 00:00
55,"my-mlm-journey.com",218,-1,1,17,3948,227,153,14/08/2012 00:00,10/08/2013 00:00,"74.220.219.65","74.220.219.0","US","com",14,1,17,27/11/2011 00:00,25/03/2013 00:00
56,"nskkite.nl",49,-1,1,17,1474,789,223,19/09/2010 00:00,01/07/2013 00:00,"193.202.110.161","193.202.110.0","NL","nl",9,6,17,21/11/2011 00:00,21/11/2011 00:00
57,"mostinside.com",532,-1,1,16,12553,95778,24527,09/07/2010 00:00,09/08/2013 00:00,"66.147.244.133","66.147.244.0","US","com",19,1,16,21/11/2011 00:00,21/11/2011 00:00
58,"droid-life.com",43479,11390,1,15,2256253,168892,82297,04/01/2010 00:00,10/08/2013 00:00,"8.29.132.90","8.29.132.0","US","com",60,39,15,30/11/2011 00:00,06/12/2011 00:00
59,"21stguru.com",1438,74478,1,15,29112,183158,121672,21/10/2009 00:00,10/08/2013 00:00,"50.28.6.227","50.28.6.0","US","com",25,5,15,20/03/2013 00:00,20/03/2013 00:00
60,"vegashomeworth.com",28,-1,1,15,100,2100,1107,15/10/2011 00:00,02/02/2013 00:00,"68.178.232.100","68.178.232.0","US","com",7,1,15,24/11/2011 00:00,24/11/2011 00:00
61,"incrediblefeatures.net",795,-1,1,15,31680,25330,19755,19/09/2009 00:00,08/08/2013 00:00,"69.163.140.131","69.163.140.0","US","net",26,10,15,26/11/2011 00:00,26/11/2011 00:00
62,"infomoto3.com",619,-1,1,15,22199,2273,663,27/05/2011 00:00,15/07/2013 00:00,"184.107.63.247","184.107.63.0","CA","com",14,4,15,06/12/2011 00:00,06/12/2011 00:00
63,"ilove.ky",379,-1,1,15,1540,15115,14269,17/05/2011 00:00,10/08/2013 00:00,"174.133.8.250","174.133.8.0","US","ky",15,2,15,25/11/2011 00:00,25/11/2011 00:00
64,"spamjam.ch",54,-1,1,14,2166,228,177,19/01/2011 00:00,01/03/2012 00:00,"217.26.52.11","217.26.52.0","CH","ch",8,3,14,23/11/2011 00:00,01/03/2012 00:00
65,"liveenzymes.com",79,-1,1,14,682,2537,724,06/11/2008 00:00,24/12/2012 00:00,"50.63.202.12","50.63.202.0","US","com",8,2,14,28/11/2011 00:00,06/12/2011 00:00
66,"zombieschool.org",79,-1,1,14,587,1020,857,29/12/2010 00:00,05/04/2012 00:00,"8.5.1.43","8.5.1.0","US","org",8,7,14,27/11/2011 00:00,30/11/2011 00:00
67,"dv41433us.org",215,-1,1,14,3447,36072,8807,22/03/2010 00:00,14/11/2011 00:00,"50.22.11.10","50.22.11.0","US","org",7,0,14,22/11/2011 00:00,22/11/2011 00:00
68,"thebowlingspot.com",1174,-1,1,14,3279,7714,6061,07/06/2010 00:00,31/07/2013 00:00,"184.172.141.216","184.172.141.0","US","com",19,1,14,02/12/2011 00:00,13/05/2012 00:00
69,"4dlink.com",2723,-1,1,14,136529,112990,88744,20/03/2008 00:00,10/08/2013 00:00,"66.96.147.113","66.96.147.0","US","com",33,19,14,09/03/2013 00:00,12/03/2013 00:00
70,"indoorherbgardenkit.com",1315,-1,1,14,9561,66670,16028,06/01/2011 00:00,07/08/2013 00:00,"67.215.77.132","67.215.77.0","US","com",9,7,14,06/12/2011 00:00,06/12/2011 00:00
71,"master-mine.co.cc",52,-1,1,14,567,1051,908,05/04/2010 00:00,12/11/2012 00:00,"78.29.1.22","78.29.1.0","RU","cc",6,3,14,26/11/2011 00:00,22/12/2011 00:00
72,"robbyramdin.com",450,-1,1,14,10297,9093,6441,17/08/2008 00:00,10/08/2013 00:00,"184.154.165.114","184.154.165.0","US","com",31,11,14,17/11/2011 00:00,17/11/2011 00:00
73,"luissoria.org",16,-1,1,13,32,725,593,19/04/2011 00:00,05/08/2013 00:00,"66.96.160.134","66.96.160.0","US","org",9,0,13,25/11/2011 00:00,25/11/2011 00:00
74,"free-vps.info",91,-1,1,13,6886,45881,33212,10/09/2010 00:00,09/08/2013 00:00,"208.87.35.103","208.87.35.0","BS","info",8,0,13,22/11/2011 00:00,25/11/2011 00:00
75,"lowestequityrates.info",1754,-1,1,13,30787,213687,184056,16/04/2010 00:00,10/08/2013 00:00,"208.73.211.152","208.73.211.0","US","info",26,3,13,20/11/2011 00:00,22/11/2011 00:00
76,"popo.lt",3189,404545,1,12,1004809,145377,97609,22/09/2009 00:00,10/08/2013 00:00,"92.61.38.106","92.61.38.0","LT","lt",43,22,12,03/12/2011 00:00,30/04/2012 00:00
77,"xtrcloud.com",661,-1,1,12,7914,20400,17028,23/01/2011 00:00,10/08/2013 00:00,"173.254.28.144","173.254.28.0","US","com",30,9,12,05/12/2011 00:00,05/12/2011 00:00
78,"okrev.com",53,-1,1,12,340,7588,5529,15/02/2011 00:00,17/02/2013 00:00,"208.87.35.103","208.87.35.0","BS","com",8,0,12,06/12/2011 00:00,26/01/2012 00:00
79,"free-gift-certificate-template.com",1207,-1,1,12,8011,3075,2350,04/06/2010 00:00,10/08/2013 00:00,"208.87.35.103","208.87.35.0","BS","com",19,1,12,01/12/2011 00:00,26/02/2012 00:00
80,"anaaceves.com",201,-1,1,12,7739,2369,985,13/04/2008 00:00,10/08/2013 00:00,"209.249.66.100","209.249.66.0","NA","com",24,12,12,25/11/2011 00:00,25/11/2011 00:00
81,"youryachtgroup.com",268,-1,1,12,3757,2418,1728,30/06/2010 00:00,27/08/2012 00:00,"69.43.161.167","69.43.161.0","US","com",15,2,12,20/12/2011 00:00,22/04/2012 00:00
82,"bluboxlive.com",1015,-1,1,12,5027,5616,2578,28/02/2008 00:00,07/05/2012 00:00,"92.42.70.10","92.42.70.0","NO","com",8,2,12,04/12/2011 00:00,24/04/2012 00:00
83,"chutkulesms.com",205,-1,1,12,16630,8788,4596,25/01/2011 00:00,25/08/2012 00:00,"209.15.13.134","209.15.13.0","US","com",7,2,12,09/12/2011 00:00,09/12/2011 00:00
84,"markonweb.info",3349,146012,1,11,2210753,350172,102296,31/08/2010 00:00,29/07/2013 00:00,"176.9.62.9","176.9.62.0","DE","info",17,7,11,13/12/2011 00:00,13/12/2011 00:00
85,"cnknepal.com",712,-1,1,11,4787,10497,6318,25/05/2008 00:00,04/08/2013 00:00,"69.43.161.174","69.43.161.0","US","com",20,9,11,22/11/2011 00:00,22/11/2011 00:00
86,"forexminder.com",81,-1,1,11,459,3493,3410,13/10/2010 00:00,09/08/2013 00:00,"198.187.29.74","198.187.29.0","US","com",13,9,11,27/11/2011 00:00,28/11/2011 00:00
87,"haperlot.com",90,-1,1,11,265,204,194,26/06/2012 00:00,10/08/2013 00:00,"69.89.31.76","69.89.31.0","US","com",12,1,11,15/07/2012 00:00,09/07/2013 00:00
88,"comenius-exchange.eu",54,-1,1,11,320,1011,732,25/11/2011 00:00,10/08/2013 00:00,"37.230.96.166","37.230.96.0","NL","eu",18,3,11,21/11/2011 00:00,07/12/2011 00:00
89,"karkaworld.com",57,-1,1,10,347,285,246,09/11/2010 00:00,10/08/2013 00:00,"74.220.215.217","74.220.215.0","US","com",9,0,10,06/12/2011 00:00,19/01/2013 00:00
90,"dmzp.info",68,-1,1,10,1055,1017,488,30/10/2008 00:00,10/08/2013 00:00,"66.147.244.68","66.147.244.0","US","info",10,1,10,11/07/2012 00:00,21/08/2012 00:00
91,"thelatesttechnoloygy.info",232,-1,1,10,1291,4939,1699,02/01/2011 00:00,31/07/2012 00:00,"74.200.89.252","74.200.89.0","US","info",9,0,10,23/12/2011 00:00,19/07/2012 00:00
92,"virtualworldfitness.net",781,-1,1,10,10077,43184,18473,11/08/2010 00:00,10/08/2013 00:00,"198.1.127.9","198.1.127.0","US","net",26,9,10,24/11/2011 00:00,24/11/2011 00:00
93,"urbanmusicawards.net",3628,-1,1,10,26606,29358,15545,30/01/2008 00:00,10/08/2013 00:00,"82.165.87.118","82.165.87.0","DE","net",26,17,10,06/12/2011 00:00,13/12/2011 00:00
94,"icantstopeating.com",165,-1,1,10,846,892,770,08/12/2010 00:00,10/08/2013 00:00,"173.201.98.128","173.201.98.0","US","com",14,0,10,20/11/2011 00:00,03/01/2012 00:00
95,"daveychu.com",35,-1,1,10,196,326,285,20/06/2009 00:00,23/07/2013 00:00,"46.30.211.56","46.30.211.0","DK","com",10,2,10,04/12/2011 00:00,07/12/2011 00:00
96,"hourgone.com",342,-1,1,10,12644,77039,48283,04/12/2012 00:00,10/08/2013 00:00,"50.21.178.88","50.21.178.0","US","com",35,1,10,15/08/2012 00:00,11/03/2013 00:00
97,"420forall.com",1945,-1,1,10,59910,83633,67153,10/07/2010 00:00,21/05/2013 00:00,"174.120.116.253","174.120.116.0","US","com",15,2,10,01/12/2011 00:00,01/12/2011 00:00
98,"ironman3.org",476,-1,1,10,5448,124896,72167,01/12/2010 00:00,21/01/2013 00:00,"50.22.11.10","50.22.11.0","US","org",9,1,10,23/11/2011 00:00,28/01/2012 00:00
99,"raidandpillage.com",146,-1,1,10,12877,194,141,07/04/2008 00:00,10/08/2013 00:00,"66.79.165.46","66.79.165.0","US","com",14,7,10,05/12/2011 00:00,19/01/2012 00:00
100,"ithacaforward.org",3310,157865,1,9,21349,152883,36730,30/01/2008 00:00,16/04/2013 00:00,"74.220.199.8","74.220.199.0","US","org",16,14,9,25/11/2011 00:00,25/11/2011 00:00
101,"38gb.com",755,162984,1,9,16205,117120,57430,21/12/2008 00:00,10/08/2013 00:00,"108.162.197.109","108.162.197.0","US","com",30,8,9,04/06/2013 00:00,08/06/2013 00:00
102,"sonfamosos.com",9016,884017,1,9,942627,118198,79677,24/03/2008 00:00,10/08/2013 00:00,"108.174.145.182","108.174.145.0","US","com",48,15,9,05/12/2011 00:00,10/04/2012 00:00
103,"xposted.com",226,-1,1,9,1974,8268,6621,20/09/2009 00:00,25/07/2013 00:00,"69.43.161.174","69.43.161.0","US","com",17,5,9,04/12/2011 00:00,05/12/2011 00:00
104,"finglas.net",1,-1,1,9,1,56122,56122,13/11/2009 00:00,12/02/2013 00:00,"82.98.86.161","82.98.86.0","DE","net",0,0,9,07/01/2012 00:00,07/01/2012 00:00
105,"moddedlife.com",33,-1,1,9,78,65830,55572,13/11/2010 00:00,10/08/2013 00:00,"97.74.181.1","97.74.181.0","US","com",10,0,9,05/12/2011 00:00,05/12/2011 00:00
106,"marenguse.com",190,-1,1,9,1334,5350,2758,18/06/2009 00:00,10/08/2013 00:00,"72.167.232.83","72.167.232.0","US","com",14,9,9,22/11/2011 00:00,22/11/2011 00:00
107,"mymobileringtones.co.cc",1507,-1,1,9,8813,14191,8388,05/04/2010 00:00,10/11/2012 00:00,"74.54.128.2","74.54.128.0","US","cc",13,1,9,08/12/2011 00:00,02/10/2012 00:00
108,"digipai.com",51,-1,1,9,983,1139,663,31/03/2011 00:00,10/08/2013 00:00,"64.111.127.251","64.111.127.0","US","com",11,7,9,08/12/2011 00:00,08/12/2011 00:00
109,"raymondkolbe.com",46,-1,1,9,342,890,587,13/06/2010 00:00,09/08/2013 00:00,"69.89.31.166","69.89.31.0","US","com",13,4,9,29/11/2011 00:00,20/12/2011 00:00
110,"wowgoldsafe.co.uk",2187,-1,1,9,195002,11274,9965,09/11/2011 00:00,10/08/2013 00:00,"46.252.204.19","46.252.204.0","NL","uk",42,11,9,27/11/2011 00:00,27/11/2011 00:00
111,"teatropilipinas.org",114,-1,1,9,8150,4376,1990,06/03/2009 00:00,09/08/2013 00:00,"208.113.163.73","208.113.163.0","US","org",14,2,9,25/11/2011 00:00,04/12/2011 00:00
112,"antbook.eu",4194,294198,1,8,148459,1069121,190738,07/08/2011 00:00,17/06/2013 00:00,"46.234.106.48","46.234.106.0","CZ","eu",25,32,8,05/12/2011 00:00,05/12/2011 00:00
113,"homeaward.com",569,-1,1,8,18092,53452,27503,15/01/2008 00:00,10/08/2013 00:00,"208.92.166.188","208.92.166.0","US","com",27,41,8,02/05/2012 00:00,28/09/2012 00:00
114,"divinesueshinehealthandfitness.com",55,-1,1,8,952,551,476,23/10/2010 00:00,10/08/2013 00:00,"184.172.52.234","184.172.52.0","US","com",10,0,8,13/07/2012 00:00,27/07/2012 00:00
115,"ipllaserhairremoval.com.au",159,-1,1,8,1838,634,370,23/01/2012 00:00,27/07/2013 00:00,"174.122.3.67","174.122.3.0","US","au",8,3,8,16/12/2011 00:00,16/12/2011 00:00
116,"lukerecommends.com",685,-1,1,8,3979,47508,26609,20/09/2009 00:00,31/07/2013 00:00,"174.132.167.90","174.132.167.0","US","com",16,1,8,17/11/2011 00:00,17/11/2011 00:00
117,"bhaktapurcity.com",22,-1,1,8,67,489,347,05/11/2011 00:00,29/07/2013 00:00,"208.91.197.101","208.91.197.0","UK","com",7,3,8,08/12/2011 00:00,19/04/2012 00:00
118,"idowebs.com",3603,-1,1,8,37285,913419,140368,10/01/2008 00:00,10/08/2013 00:00,"65.19.162.57","65.19.162.0","US","com",39,10,8,11/12/2011 00:00,28/11/2012 00:00
119,"fastlittlearticle.com",47,-1,1,8,498,143,118,24/06/2008 00:00,08/08/2013 00:00,"96.127.180.194","96.127.180.0","US","com",9,0,8,12/12/2011 00:00,31/07/2013 00:00
120,"sonialopes.com.br",1804,-1,1,8,15030,16684,6557,28/01/2008 00:00,08/08/2013 00:00,"80.156.86.78","80.156.86.0","DE","br",14,3,8,23/11/2011 00:00,23/11/2011 00:00
121,"santsavaiyanathdham.org",279,-1,1,8,7272,917,710,17/12/2010 00:00,07/08/2013 00:00,"182.18.135.36","182.18.135.0","IN","org",10,0,8,25/11/2011 00:00,25/11/2011 00:00
122,"powerfulpanicattackremedy.com",63,-1,1,8,257,396,388,21/04/2011 00:00,11/07/2013 00:00,"174.121.33.222","174.121.33.0","US","com",7,0,8,15/12/2011 00:00,06/06/2013 00:00
123,"defreunde.de",136,-1,1,8,1351,133936,26699,27/12/2009 00:00,18/07/2013 00:00,"84.201.46.245","84.201.46.0","DE","de",10,4,8,07/12/2011 00:00,07/12/2011 00:00
124,"klausschieferdecker.de",95,-1,1,8,1572,227,115,19/10/2008 00:00,10/08/2013 00:00,"88.198.3.226","88.198.3.0","DE","de",15,5,8,04/12/2011 00:00,23/01/2012 00:00
125,"dafr3ak.net",45,-1,1,8,543,7032,6162,22/08/2010 00:00,10/08/2013 00:00,"66.6.44.4","66.6.44.0","US","net",7,0,8,17/04/2012 00:00,17/04/2012 00:00
126,"beautyxpose.com",2881,-1,1,8,90335,34801,20914,04/05/2009 00:00,10/08/2013 00:00,"184.168.232.1","184.168.232.0","US","com",34,18,8,28/11/2011 00:00,28/11/2011 00:00
127,"theconservativejournalblog.com",2205,-1,1,8,146599,24757,6960,29/09/2011 00:00,31/07/2013 00:00,"184.172.137.3","184.172.137.0","US","com",28,18,8,05/12/2011 00:00,05/12/2011 00:00
128,"teendawg.com",140,-1,1,8,2314,12574,3376,04/03/2010 00:00,01/08/2013 00:00,"216.172.172.194","216.172.172.0","US","com",17,15,8,27/11/2011 00:00,27/11/2011 00:00
129,"bainrustique.nl",482,-1,1,8,2397,95605,59169,07/12/2009 00:00,10/08/2013 00:00,"85.158.203.168","85.158.203.0","NL","nl",18,3,8,05/03/2013 00:00,06/03/2013 00:00
130,"themabusscarab.com",141,-1,1,8,920,9207,7023,25/05/2011 00:00,01/08/2013 00:00,"69.43.161.174","69.43.161.0","US","com",13,3,8,04/12/2011 00:00,03/04/2012 00:00
131,"celestialmirror.org",86,-1,1,8,315,198,103,18/06/2012 00:00,27/07/2012 00:00,"209.217.209.33","209.217.209.0","US","org",6,1,8,21/12/2011 00:00,13/06/2012 00:00
132,"mrcrow.com",1419,-1,1,8,7924,21123,13480,23/02/2010 00:00,28/07/2013 00:00,"174.132.24.141","174.132.24.0","US","com",18,8,8,25/11/2011 00:00,25/11/2011 00:00
133,"theseoking.com",11745,21702,1,7,460959,809529,355605,14/01/2008 00:00,10/08/2013 00:00,"67.222.1.26","67.222.1.0","US","com",40,29,7,17/01/2012 00:00,15/04/2012 00:00
134,"apleintubes.com",3364,362811,1,7,17588,259727,119245,01/09/2009 00:00,29/06/2013 00:00,"182.50.154.57","182.50.154.0","SG","com",18,13,7,10/12/2011 00:00,14/06/2012 00:00
135,"want2blog.net",5195,434269,1,7,167541,122036,77172,13/09/2010 00:00,10/08/2013 00:00,"85.214.225.100","85.214.225.0","DE","net",36,16,7,03/12/2011 00:00,03/12/2011 00:00
