"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_lorifeldmanattorney.com","FirstLinkDate_lorifeldmanattorney.com","LastLinkDate_lorifeldmanattorney.com"
19,"immersionfreediving.com",425,-1,1,59,6943,6211,3043,08/11/2011 00:00,09/08/2013 00:00,"98.129.229.188","98.129.229.0","US","com",29,18,59,01/12/2011 00:00,01/12/2011 00:00
20,"affiliatemakemoney.com",455,-1,1,55,3502,46214,23146,10/01/2008 00:00,09/08/2013 00:00,"74.52.151.18","74.52.151.0","US","com",13,2,55,24/11/2011 00:00,09/01/2012 00:00
21,"3xgamer.com",673,-1,1,52,2542,279465,116969,06/10/2009 00:00,10/08/2013 00:00,"208.109.78.142","208.109.78.0","US","com",14,6,52,07/12/2011 00:00,07/12/2011 00:00
22,"sharepointjungle.com",201,-1,1,51,1597,75832,55678,11/06/2011 00:00,10/08/2013 00:00,"173.201.97.1","173.201.97.0","US","com",13,1,51,25/03/2013 00:00,25/03/2013 00:00
23,"howardfrenia.com",101,-1,1,48,742,1691,1658,19/06/2012 00:00,30/07/2013 00:00,"184.172.150.20","184.172.150.0","US","com",14,1,48,25/02/2013 00:00,16/07/2013 00:00
24,"joie.ro",110,-1,1,48,5632,4518,2003,18/09/2010 00:00,11/01/2012 00:00,"67.215.77.132","67.215.77.0","US","ro",9,7,48,22/11/2011 00:00,24/11/2011 00:00
25,"usfaddicts.net",331,-1,1,47,7200,17334,7462,20/11/2010 00:00,10/08/2013 00:00,"74.86.182.35","74.86.182.0","US","net",25,5,47,01/01/2012 00:00,01/01/2012 00:00
26,"rf.ro",832,-1,1,47,8373,20369,11307,11/10/2010 00:00,10/08/2013 00:00,"93.113.193.13","93.113.193.0","RO","ro",21,4,47,24/11/2011 00:00,09/01/2012 00:00
27,"newestinfo.info",167,-1,1,45,1803,35114,20993,01/04/2011 00:00,01/04/2013 00:00,"50.63.202.81","50.63.202.0","US","info",8,0,45,22/11/2011 00:00,26/11/2011 00:00
28,"hotelsfl.org",542,-1,1,45,2754,22924,18317,22/10/2010 00:00,17/05/2013 00:00,"216.172.186.112","216.172.186.0","US","org",10,2,45,21/11/2011 00:00,18/12/2011 00:00
29,"newlenz.com",254,-1,1,44,1774870,9644,6956,28/08/2009 00:00,10/08/2013 00:00,"216.157.88.18","216.157.88.0","US","com",10,0,44,06/12/2011 00:00,06/12/2011 00:00
30,"myweightlosssolution.com",861,-1,1,44,12119,10176,9384,11/05/2008 00:00,04/06/2013 00:00,"174.120.200.163","174.120.200.0","US","com",12,1,44,03/12/2011 00:00,09/04/2013 00:00
31,"lowestequityrates.info",1754,-1,1,43,30787,213687,184056,16/04/2010 00:00,10/08/2013 00:00,"208.73.211.152","208.73.211.0","US","info",26,3,43,20/11/2011 00:00,22/11/2011 00:00
32,"akolob.com",81,-1,1,41,430,416,250,30/11/2009 00:00,27/01/2013 00:00,"49.50.249.50","49.50.249.0","NZ","com",7,1,41,22/11/2011 00:00,22/11/2011 00:00
33,"budgetbusinessservices.com",360,-1,1,40,2101,25482,21148,14/01/2013 00:00,10/08/2013 00:00,"184.170.144.73","184.170.144.0","US","com",18,4,40,28/02/2013 00:00,02/03/2013 00:00
34,"plusmodels.com",17837,-1,1,39,312115,146454,99820,12/01/2008 00:00,10/08/2013 00:00,"192.96.211.66","192.96.211.0","US","com",32,13,39,22/11/2011 00:00,11/12/2011 00:00
35,"powerscript.net",23,-1,1,37,3003,2192,1611,21/11/2010 00:00,10/08/2013 00:00,"208.87.35.103","208.87.35.0","BS","net",8,1,37,27/11/2011 00:00,09/01/2012 00:00
36,"jurekozuh.org",843,-1,1,35,15757,7337,4263,24/06/2008 00:00,13/09/2012 00:00,"67.215.66.132","67.215.66.0","US","org",8,5,35,02/12/2011 00:00,08/12/2011 00:00
37,"fossfotography.com",60,-1,1,35,1025,12560,11181,18/02/2009 00:00,07/08/2013 00:00,"173.201.146.128","173.201.146.0","US","com",14,11,35,04/04/2013 00:00,07/07/2013 00:00
38,"farmvillepost.com",866,-1,1,35,4266,37321,11331,05/10/2010 00:00,23/07/2013 00:00,"67.215.66.132","67.215.66.0","US","com",16,3,35,22/11/2011 00:00,22/11/2011 00:00
39,"72pines.com",14668,-1,1,33,997423,458723,246035,17/01/2008 00:00,30/07/2013 00:00,"66.63.174.41","66.63.174.0","US","com",23,22,33,01/12/2011 00:00,08/12/2011 00:00
40,"irvinsammons.net",40,-1,1,33,807,963,845,07/02/2011 00:00,10/08/2013 00:00,"41.76.209.59","41.76.209.0","ZA","net",17,0,33,16/11/2011 00:00,16/11/2011 00:00
41,"itsadirectory.com",444,-1,1,32,20573,6568,2977,25/05/2008 00:00,17/12/2012 00:00,"208.73.211.152","208.73.211.0","US","com",8,5,32,21/11/2011 00:00,21/11/2011 00:00
42,"birdparadise.tk",476,-1,1,31,10752,70819,10591,11/12/2010 00:00,10/08/2013 00:00,"93.170.52.31","93.170.52.0","CZ","tk",9,2,31,21/11/2011 00:00,21/11/2011 00:00
43,"wellnesspacificcoast.com",215,-1,1,31,3255,2639,2173,01/06/2010 00:00,10/01/2013 00:00,"66.147.242.166","66.147.242.0","US","com",8,1,31,22/11/2011 00:00,07/12/2011 00:00
44,"gnn.com.ng",1473,-1,1,30,29827,271524,167086,22/03/2010 00:00,14/11/2012 00:00,"173.201.92.1","173.201.92.0","US","ng",11,8,30,22/11/2011 00:00,22/11/2011 00:00
45,"yeahreview.com",517,-1,1,29,2584,33447,17488,04/06/2010 00:00,06/04/2013 00:00,"50.63.202.83","50.63.202.0","US","com",8,0,29,21/11/2011 00:00,21/11/2011 00:00
46,"flaviofagundes.com.br",113,-1,1,29,9051,702,470,08/11/2011 00:00,08/08/2013 00:00,"64.111.127.114","64.111.127.0","US","br",9,3,29,25/11/2011 00:00,15/02/2012 00:00
47,"highsidemotorsports.com",658,-1,1,29,16927,1483736,331724,15/02/2010 00:00,10/08/2013 00:00,"206.214.222.173","206.214.222.0","US","com",14,2,29,29/11/2011 00:00,05/04/2012 00:00
48,"ech24.org",71,-1,1,26,349,62721,48886,23/02/2013 00:00,10/08/2013 00:00,"66.96.147.104","66.96.147.0","US","org",13,1,26,27/06/2013 00:00,27/06/2013 00:00
49,"brianleamon.com",57,-1,1,24,4053,3347,3199,22/12/2012 00:00,10/08/2013 00:00,"184.170.147.18","184.170.147.0","US","com",13,1,24,05/11/2012 00:00,30/06/2013 00:00
50,"darienlakeblog.com",269,-1,1,24,11328,11643,4838,07/08/2010 00:00,10/08/2013 00:00,"174.36.161.130","174.36.161.0","US","com",16,9,24,22/11/2011 00:00,22/11/2011 00:00
51,"ccislinks.com",3851,365468,1,23,115138,30486,25414,04/02/2008 00:00,10/08/2013 00:00,"79.170.40.42","79.170.40.0","UK","com",21,19,23,17/11/2011 00:00,17/11/2011 00:00
52,"linkbags.info",1665,-1,1,23,27743,5957,3825,13/04/2011 00:00,10/08/2013 00:00,"66.219.24.82","66.219.24.0","US","info",25,10,23,22/11/2011 00:00,26/11/2011 00:00
53,"ilove.ky",379,-1,1,23,1540,15115,14269,17/05/2011 00:00,10/08/2013 00:00,"174.133.8.250","174.133.8.0","US","ky",15,2,23,25/11/2011 00:00,25/11/2011 00:00
54,"revelations-guild.com",11657,-1,1,23,215108,27159,17435,01/05/2008 00:00,30/07/2013 00:00,"69.89.31.78","69.89.31.0","US","com",15,5,23,21/11/2011 00:00,18/12/2011 00:00
55,"anaaceves.com",201,-1,1,22,7739,2369,985,13/04/2008 00:00,10/08/2013 00:00,"209.249.66.100","209.249.66.0","NA","com",24,12,22,22/11/2011 00:00,22/11/2011 00:00
56,"droid-life.com",43479,11390,1,21,2256253,168892,82297,04/01/2010 00:00,10/08/2013 00:00,"8.29.132.90","8.29.132.0","US","com",60,39,21,30/11/2011 00:00,01/12/2011 00:00
57,"thebowlingspot.com",1174,-1,1,21,3279,7714,6061,07/06/2010 00:00,31/07/2013 00:00,"184.172.141.216","184.172.141.0","US","com",19,1,21,27/11/2011 00:00,06/01/2012 00:00
58,"indoorherbgardenkit.com",1315,-1,1,21,9561,66670,16028,06/01/2011 00:00,07/08/2013 00:00,"67.215.77.132","67.215.77.0","US","com",9,7,21,27/11/2011 00:00,13/12/2011 00:00
59,"incrediblefeatures.net",795,-1,1,20,31680,25330,19755,19/09/2009 00:00,08/08/2013 00:00,"69.163.140.131","69.163.140.0","US","net",26,10,20,26/11/2011 00:00,26/11/2011 00:00
60,"liveenzymes.com",79,-1,1,20,682,2537,724,06/11/2008 00:00,24/12/2012 00:00,"50.63.202.12","50.63.202.0","US","com",8,2,20,28/11/2011 00:00,06/12/2011 00:00
61,"zombieschool.org",79,-1,1,19,587,1020,857,29/12/2010 00:00,05/04/2012 00:00,"8.5.1.43","8.5.1.0","US","org",8,7,19,21/11/2011 00:00,30/11/2011 00:00
62,"dv41433us.org",215,-1,1,19,3447,36072,8807,22/03/2010 00:00,14/11/2011 00:00,"50.22.11.10","50.22.11.0","US","org",7,0,19,22/11/2011 00:00,22/11/2011 00:00
63,"1tvs.net",765,-1,1,19,10728,24444,15187,16/04/2011 00:00,10/08/2013 00:00,"46.165.220.73","46.165.220.0","DE","net",30,2,19,26/11/2011 00:00,26/11/2011 00:00
64,"hourgone.com",342,-1,1,18,12644,77039,48283,04/12/2012 00:00,10/08/2013 00:00,"50.21.178.88","50.21.178.0","US","com",35,1,18,16/07/2012 00:00,04/12/2012 00:00
65,"webiddea.net",2564,548052,1,17,50052,112877,86857,28/06/2008 00:00,10/08/2013 00:00,"108.162.196.23","108.162.196.0","US","net",32,14,17,26/02/2013 00:00,26/02/2013 00:00
66,"diktiergeraete-forum.de",5866,-1,1,17,30357,328179,171529,01/02/2010 00:00,26/07/2013 00:00,"85.13.133.58","85.13.133.0","DE","de",36,12,17,07/03/2013 00:00,29/04/2013 00:00
67,"rconlinedeals.info",1895,-1,1,17,30811,149454,64712,07/07/2010 00:00,10/08/2013 00:00,"174.120.116.253","174.120.116.0","US","info",16,3,17,10/04/2013 00:00,13/04/2013 00:00
68,"my-mlm-journey.com",218,-1,1,17,3948,227,153,14/08/2012 00:00,10/08/2013 00:00,"74.220.219.65","74.220.219.0","US","com",14,1,17,27/11/2011 00:00,25/03/2013 00:00
69,"vegashomeworth.com",28,-1,1,17,100,2100,1107,15/10/2011 00:00,02/02/2013 00:00,"68.178.232.100","68.178.232.0","US","com",7,1,17,24/11/2011 00:00,24/11/2011 00:00
70,"xposted.com",226,-1,1,16,1974,8268,6621,20/09/2009 00:00,25/07/2013 00:00,"69.43.161.174","69.43.161.0","US","com",17,5,16,04/12/2011 00:00,06/12/2011 00:00
71,"free-gift-certificate-template.com",1207,-1,1,16,8011,3075,2350,04/06/2010 00:00,10/08/2013 00:00,"208.87.35.103","208.87.35.0","BS","com",19,1,16,01/12/2011 00:00,10/02/2012 00:00
72,"alfadesarrolloweb.com",474,-1,1,15,134627,68061,24749,23/10/2009 00:00,09/08/2013 00:00,"107.6.16.13","107.6.16.0","US","com",18,3,15,22/11/2011 00:00,22/11/2011 00:00
73,"cnknepal.com",712,-1,1,15,4787,10497,6318,25/05/2008 00:00,04/08/2013 00:00,"69.43.161.174","69.43.161.0","US","com",20,9,15,22/11/2011 00:00,22/11/2011 00:00
74,"mostinside.com",532,-1,1,15,12553,95778,24527,09/07/2010 00:00,09/08/2013 00:00,"66.147.244.133","66.147.244.0","US","com",19,1,15,21/11/2011 00:00,21/11/2011 00:00
75,"theconservativejournalblog.com",2205,-1,1,15,146599,24757,6960,29/09/2011 00:00,31/07/2013 00:00,"184.172.137.3","184.172.137.0","US","com",28,18,15,25/11/2011 00:00,25/11/2011 00:00
76,"mangrade.com",402,-1,1,15,11473,1465,1284,13/10/2010 00:00,10/08/2013 00:00,"98.158.179.168","98.158.179.0","US","com",15,0,15,04/12/2011 00:00,13/07/2012 00:00
77,"master-mine.co.cc",52,-1,1,15,567,1051,908,05/04/2010 00:00,12/11/2012 00:00,"78.29.1.22","78.29.1.0","RU","cc",6,3,15,26/11/2011 00:00,22/12/2011 00:00
78,"lesyeuxcarres.com",34,-1,1,15,257,897,401,24/01/2011 00:00,08/08/2013 00:00,"213.186.33.2","213.186.33.0","FR","com",16,6,15,25/07/2012 00:00,19/10/2012 00:00
79,"gettheproof.com",97,-1,1,14,506,14206,9256,20/03/2011 00:00,10/08/2013 00:00,"97.74.215.142","97.74.215.0","US","com",10,3,14,27/02/2013 00:00,17/04/2013 00:00
80,"nskkite.nl",49,-1,1,14,1474,789,223,19/09/2010 00:00,01/07/2013 00:00,"193.202.110.161","193.202.110.0","NL","nl",9,6,14,21/11/2011 00:00,21/11/2011 00:00
81,"thelatesttechnoloygy.info",232,-1,1,14,1291,4939,1699,02/01/2011 00:00,31/07/2012 00:00,"74.200.89.252","74.200.89.0","US","info",9,0,14,23/12/2011 00:00,19/07/2012 00:00
82,"bluboxlive.com",1015,-1,1,14,5027,5616,2578,28/02/2008 00:00,07/05/2012 00:00,"92.42.70.10","92.42.70.0","NO","com",8,2,14,28/11/2011 00:00,24/04/2012 00:00
83,"timrosenblatt.com",480,-1,1,14,3586,2242,2108,24/09/2008 00:00,07/08/2013 00:00,"216.119.134.66","216.119.134.0","US","com",23,7,14,29/11/2011 00:00,20/12/2011 00:00
84,"urbanmusicawards.net",3628,-1,1,14,26606,29358,15545,30/01/2008 00:00,10/08/2013 00:00,"82.165.87.118","82.165.87.0","DE","net",26,17,14,06/12/2011 00:00,13/12/2011 00:00
85,"ntct.edu.tw",66767,155862,1,13,3941588,4390421,739703,24/01/2008 00:00,10/08/2013 00:00,"163.22.168.116","163.22.168.0","TW","tw",34,36,13,01/02/2012 00:00,01/02/2012 00:00
86,"luissoria.org",16,-1,1,13,32,725,593,19/04/2011 00:00,05/08/2013 00:00,"66.96.160.134","66.96.160.0","US","org",9,0,13,25/11/2011 00:00,25/11/2011 00:00
87,"okrev.com",53,-1,1,13,340,7588,5529,15/02/2011 00:00,17/02/2013 00:00,"208.87.35.103","208.87.35.0","BS","com",8,0,13,06/12/2011 00:00,24/01/2012 00:00
88,"emzorpharma.com",842,-1,1,13,5531,298831,98901,16/02/2008 00:00,10/08/2013 00:00,"50.62.130.135","50.62.130.0","US","com",24,11,13,17/11/2011 00:00,17/11/2011 00:00
89,"spamjam.ch",54,-1,1,13,2166,228,177,19/01/2011 00:00,01/03/2012 00:00,"217.26.52.11","217.26.52.0","CH","ch",8,3,13,23/11/2011 00:00,31/03/2012 00:00
90,"raidandpillage.com",146,-1,1,13,12877,194,141,07/04/2008 00:00,10/08/2013 00:00,"66.79.165.46","66.79.165.0","US","com",14,7,13,05/12/2011 00:00,02/05/2012 00:00
91,"raymondkolbe.com",46,-1,1,13,342,890,587,13/06/2010 00:00,09/08/2013 00:00,"69.89.31.166","69.89.31.0","US","com",13,4,13,29/11/2011 00:00,20/12/2011 00:00
92,"greenindonesia.net",416,-1,1,13,2940,452,349,26/07/2008 00:00,08/08/2013 00:00,"69.163.192.6","69.163.192.0","US","net",14,3,13,04/12/2011 00:00,04/12/2011 00:00
93,"dmzp.info",68,-1,1,12,1055,1017,488,30/10/2008 00:00,10/08/2013 00:00,"66.147.244.68","66.147.244.0","US","info",10,1,12,11/07/2012 00:00,21/08/2012 00:00
94,"ben10toy.com",208,-1,1,12,1342,39638,22879,24/05/2010 00:00,10/08/2013 00:00,"208.87.35.103","208.87.35.0","BS","com",18,0,12,16/11/2011 00:00,16/11/2011 00:00
95,"mlmwebsite.com",59,-1,1,12,119,3957,3554,26/07/2008 00:00,18/07/2013 00:00,"69.50.218.202","69.50.218.0","US","com",6,0,12,06/12/2011 00:00,06/12/2011 00:00
96,"sonfamosos.com",9016,884017,1,11,942627,118198,79677,24/03/2008 00:00,10/08/2013 00:00,"108.174.145.182","108.174.145.0","US","com",48,15,11,02/12/2011 00:00,10/04/2012 00:00
97,"idowebs.com",3603,-1,1,11,37285,913419,140368,10/01/2008 00:00,10/08/2013 00:00,"65.19.162.57","65.19.162.0","US","com",39,10,11,28/11/2011 00:00,20/02/2012 00:00
98,"themabusscarab.com",141,-1,1,11,920,9207,7023,25/05/2011 00:00,01/08/2013 00:00,"69.43.161.174","69.43.161.0","US","com",13,3,11,04/12/2011 00:00,03/04/2012 00:00
99,"fixarthritis.com",698,-1,1,11,13011,34442,25590,18/09/2009 00:00,10/08/2013 00:00,"209.217.230.202","209.217.230.0","US","com",19,1,11,07/04/2013 00:00,07/04/2013 00:00
100,"b2c-digital.com",298,-1,1,11,2718,3070,1935,15/09/2010 00:00,07/08/2013 00:00,"50.87.210.215","50.87.210.0","US","com",9,0,11,21/11/2011 00:00,21/11/2011 00:00
101,"littlewebdirectory.com",20817,14589,1,10,4525810,2185125,360823,11/01/2008 00:00,10/08/2013 00:00,"208.109.138.201","208.109.138.0","US","com",37,31,10,25/08/2012 00:00,25/08/2012 00:00
102,"popo.lt",3189,404545,1,10,1004809,145377,97609,22/09/2009 00:00,10/08/2013 00:00,"92.61.38.106","92.61.38.0","LT","lt",43,22,10,03/12/2011 00:00,17/04/2012 00:00
103,"toyboxglobal.com.au",358,-1,1,10,4037,25098,10005,05/11/2010 00:00,12/07/2013 00:00,"50.63.211.60","50.63.211.0","US","au",12,8,10,30/11/2011 00:00,30/11/2011 00:00
104,"forexminder.com",81,-1,1,10,459,3493,3410,13/10/2010 00:00,09/08/2013 00:00,"198.187.29.74","198.187.29.0","US","com",13,9,10,28/11/2011 00:00,28/11/2011 00:00
105,"hotokyo.net",285,-1,1,10,3415,50437,13216,25/10/2010 00:00,10/08/2013 00:00,"180.153.108.105","180.153.108.0","CN","net",22,11,10,23/11/2011 00:00,24/11/2011 00:00
106,"laptop-battery-depot.co.uk",887,-1,1,10,6007,4360,2972,23/06/2010 00:00,21/05/2013 00:00,"74.220.199.6","74.220.199.0","US","uk",11,3,10,24/11/2011 00:00,24/11/2011 00:00
107,"nottenews.com",215,-1,1,10,1244,362,116,08/04/2012 00:00,10/08/2013 00:00,"204.45.55.44","204.45.55.0","US","com",10,1,10,08/04/2012 00:00,08/04/2012 00:00
108,"moddedlife.com",33,-1,1,10,78,65830,55572,13/11/2010 00:00,10/08/2013 00:00,"97.74.181.1","97.74.181.0","US","com",10,0,10,05/12/2011 00:00,05/12/2011 00:00
109,"free-vps.info",91,-1,1,10,6886,45881,33212,10/09/2010 00:00,09/08/2013 00:00,"208.87.35.103","208.87.35.0","BS","info",8,0,10,25/11/2011 00:00,25/11/2011 00:00
110,"aol.ca",56624,25805,1,9,21665007,19511046,1511723,09/01/2008 00:00,10/08/2013 00:00,"64.12.107.131","64.12.107.0","US","ca",47,42,9,01/11/2011 00:00,25/11/2011 00:00
111,"techwizz.org",148,-1,1,9,4496,2043,1335,06/11/2010 00:00,26/07/2013 00:00,"199.34.228.100","199.34.228.0","US","org",12,0,9,03/12/2011 00:00,03/12/2011 00:00
112,"wowgoldsafe.co.uk",2187,-1,1,9,195002,11274,9965,09/11/2011 00:00,10/08/2013 00:00,"46.252.204.19","46.252.204.0","NL","uk",42,11,9,27/11/2011 00:00,27/11/2011 00:00
113,"chutkulesms.com",205,-1,1,9,16630,8788,4596,25/01/2011 00:00,25/08/2012 00:00,"209.15.13.134","209.15.13.0","US","com",7,2,9,28/11/2011 00:00,28/11/2011 00:00
114,"santsavaiyanathdham.org",279,-1,1,9,7272,917,710,17/12/2010 00:00,07/08/2013 00:00,"182.18.135.36","182.18.135.0","IN","org",10,0,9,25/11/2011 00:00,25/11/2011 00:00
115,"mymobileringtones.co.cc",1507,-1,1,9,8813,14191,8388,05/04/2010 00:00,10/11/2012 00:00,"74.54.128.2","74.54.128.0","US","cc",13,1,9,08/12/2011 00:00,02/10/2012 00:00
116,"lukerecommends.com",685,-1,1,9,3979,47508,26609,20/09/2009 00:00,31/07/2013 00:00,"174.132.167.90","174.132.167.0","US","com",16,1,9,17/11/2011 00:00,17/11/2011 00:00
117,"teendawg.com",140,-1,1,9,2314,12574,3376,04/03/2010 00:00,01/08/2013 00:00,"216.172.172.194","216.172.172.0","US","com",17,15,9,27/11/2011 00:00,27/11/2011 00:00
118,"donyignaz.com",75,-1,1,9,1030,565,453,25/03/2010 00:00,17/12/2012 00:00,"208.91.197.101","208.91.197.0","UK","com",7,0,9,30/11/2011 00:00,08/02/2012 00:00
119,"beatshere.com",979,-1,1,9,8868,785,517,18/05/2012 00:00,20/01/2013 00:00,"184.154.190.170","184.154.190.0","US","com",11,0,9,02/12/2011 00:00,02/12/2011 00:00
120,"beautyxpose.com",2881,-1,1,9,90335,34801,20914,04/05/2009 00:00,10/08/2013 00:00,"184.168.232.1","184.168.232.0","US","com",34,18,9,21/11/2011 00:00,21/11/2011 00:00
121,"mrcrow.com",1419,-1,1,9,7924,21123,13480,23/02/2010 00:00,28/07/2013 00:00,"174.132.24.141","174.132.24.0","US","com",18,8,9,25/11/2011 00:00,25/11/2011 00:00
122,"powerfulpanicattackremedy.com",63,-1,1,9,257,396,388,21/04/2011 00:00,11/07/2013 00:00,"174.121.33.222","174.121.33.0","US","com",7,0,9,15/12/2011 00:00,06/06/2013 00:00
123,"majre.hu",261,-1,1,9,846,7426,4193,27/01/2008 00:00,08/08/2013 00:00,"62.112.194.195","62.112.194.0","HU","hu",16,10,9,16/11/2011 00:00,16/11/2011 00:00
124,"viesearch.com",15191,13643,1,8,2943838,5103562,1172688,12/01/2008 00:00,10/08/2013 00:00,"209.62.29.149","209.62.29.0","US","com",42,30,8,04/01/2013 00:00,04/01/2013 00:00
125,"business-finder.info",2366,23314,1,8,393117,176408,116257,29/10/2008 00:00,10/08/2013 00:00,"70.38.93.117","70.38.93.0","CA","info",32,21,8,07/03/2012 00:00,17/03/2013 00:00
126,"raovat.vn",10370,108452,1,8,791382,6743857,815039,24/01/2008 00:00,10/08/2013 00:00,"112.213.84.55","112.213.84.0","VN","vn",35,21,8,22/11/2011 00:00,22/11/2011 00:00
127,"fremdsehen.at",837,-1,1,8,20311,29148,15739,03/07/2010 00:00,10/08/2013 00:00,"37.235.63.171","37.235.63.0","AT","at",25,6,8,22/11/2011 00:00,22/11/2011 00:00
128,"celestialmirror.org",86,-1,1,8,315,198,103,18/06/2012 00:00,27/07/2012 00:00,"209.217.209.33","209.217.209.0","US","org",6,1,8,21/12/2011 00:00,13/06/2012 00:00
129,"virtualworldfitness.net",781,-1,1,8,10077,43184,18473,11/08/2010 00:00,10/08/2013 00:00,"198.1.127.9","198.1.127.0","US","net",26,9,8,24/11/2011 00:00,24/11/2011 00:00
130,"youryachtgroup.com",268,-1,1,8,3757,2418,1728,30/06/2010 00:00,27/08/2012 00:00,"69.43.161.167","69.43.161.0","US","com",15,2,8,31/12/2011 00:00,22/04/2012 00:00
131,"ruralhobbyfarm.com",357,-1,1,8,1984,23077,8848,24/01/2011 00:00,10/08/2013 00:00,"208.87.35.103","208.87.35.0","BS","com",20,6,8,27/11/2011 00:00,29/01/2012 00:00
132,"m-o-n-ey.com",3135,-1,1,8,68104,332730,50387,23/01/2011 00:00,07/08/2013 00:00,"27.254.40.72","27.254.40.0","TH","com",17,3,8,11/12/2011 00:00,11/12/2011 00:00
133,"researchexamples.com",568,-1,1,8,5286,34388,14413,23/09/2010 00:00,10/08/2013 00:00,"66.96.147.111","66.96.147.0","US","com",21,1,8,18/11/2011 00:00,18/11/2011 00:00
134,"webhostbox.net",62831,8822,1,7,1682603,1067855,208071,14/06/2010 00:00,10/08/2013 00:00,"67.63.55.3","67.63.55.0","US","net",40,24,7,10/03/2013 00:00,10/03/2013 00:00
