"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_househuntinginlasvegas.com","FirstLinkDate_househuntinginlasvegas.com","LastLinkDate_househuntinginlasvegas.com"
55,"andrweb.info",433,597613,1,22,6188,84134,53807,03/07/2010 00:00,10/08/2013 00:00,"141.101.116.35","141.101.116.0","EU","info",24,8,22,19/09/2012 00:00,19/09/2012 00:00
56,"zombieschool.org",79,-1,1,22,587,1020,857,29/12/2010 00:00,05/04/2012 00:00,"8.5.1.43","8.5.1.0","US","org",8,7,22,21/11/2011 00:00,30/11/2011 00:00
57,"lowestequityrates.info",1754,-1,1,22,30787,213687,184056,16/04/2010 00:00,10/08/2013 00:00,"208.73.211.152","208.73.211.0","US","info",26,3,22,21/11/2011 00:00,22/11/2011 00:00
58,"ilove.ky",379,-1,1,22,1540,15115,14269,17/05/2011 00:00,10/08/2013 00:00,"174.133.8.250","174.133.8.0","US","ky",15,2,22,25/11/2011 00:00,25/11/2011 00:00
59,"mostinside.com",532,-1,1,21,12553,95778,24527,09/07/2010 00:00,09/08/2013 00:00,"66.147.244.133","66.147.244.0","US","com",19,1,21,21/11/2011 00:00,21/11/2011 00:00
60,"flaviofagundes.com.br",113,-1,1,21,9051,702,470,08/11/2011 00:00,08/08/2013 00:00,"64.111.127.114","64.111.127.0","US","br",9,3,21,25/11/2011 00:00,20/07/2012 00:00
61,"timrosenblatt.com",480,-1,1,21,3586,2242,2108,24/09/2008 00:00,07/08/2013 00:00,"216.119.134.66","216.119.134.0","US","com",23,7,21,27/11/2011 00:00,03/01/2012 00:00
62,"incrediblefeatures.net",795,-1,1,21,31680,25330,19755,19/09/2009 00:00,08/08/2013 00:00,"69.163.140.131","69.163.140.0","US","net",26,10,21,26/11/2011 00:00,26/11/2011 00:00
63,"anaaceves.com",201,-1,1,21,7739,2369,985,13/04/2008 00:00,10/08/2013 00:00,"209.249.66.100","209.249.66.0","NA","com",24,12,21,22/11/2011 00:00,22/11/2011 00:00
64,"revelations-guild.com",11657,-1,1,20,215108,27159,17435,01/05/2008 00:00,30/07/2013 00:00,"69.89.31.78","69.89.31.0","US","com",15,5,20,21/11/2011 00:00,18/12/2011 00:00
65,"alnajafi.net",142,-1,1,20,5342,55596,28263,13/06/2012 00:00,31/07/2013 00:00,"174.121.3.62","174.121.3.0","US","net",15,5,20,22/06/2013 00:00,22/06/2013 00:00
66,"yeahreview.com",517,-1,1,19,2584,33447,17488,04/06/2010 00:00,06/04/2013 00:00,"50.63.202.83","50.63.202.0","US","com",8,0,19,26/11/2011 00:00,26/11/2011 00:00
67,"indoorherbgardenkit.com",1315,-1,1,19,9561,66670,16028,06/01/2011 00:00,07/08/2013 00:00,"67.215.77.132","67.215.77.0","US","com",9,7,19,06/12/2011 00:00,13/12/2011 00:00
68,"irvinsammons.net",40,-1,1,18,807,963,845,07/02/2011 00:00,10/08/2013 00:00,"41.76.209.59","41.76.209.0","ZA","net",17,0,18,15/12/2011 00:00,10/01/2012 00:00
69,"subkr.com",2210,-1,1,18,201426,786660,191534,10/09/2009 00:00,10/08/2013 00:00,"119.59.97.160","119.59.97.0","TH","com",14,4,18,05/11/2011 00:00,05/11/2011 00:00
70,"my-mlm-journey.com",218,-1,1,17,3948,227,153,14/08/2012 00:00,10/08/2013 00:00,"74.220.219.65","74.220.219.0","US","com",14,1,17,27/11/2011 00:00,25/03/2013 00:00
71,"alfadesarrolloweb.com",474,-1,1,17,134627,68061,24749,23/10/2009 00:00,09/08/2013 00:00,"107.6.16.13","107.6.16.0","US","com",18,3,17,22/11/2011 00:00,22/11/2011 00:00
72,"lesyeuxcarres.com",34,-1,1,17,257,897,401,24/01/2011 00:00,08/08/2013 00:00,"213.186.33.2","213.186.33.0","FR","com",16,6,17,14/08/2012 00:00,19/10/2012 00:00
73,"nskkite.nl",49,-1,1,16,1474,789,223,19/09/2010 00:00,01/07/2013 00:00,"193.202.110.161","193.202.110.0","NL","nl",9,6,16,21/11/2011 00:00,21/11/2011 00:00
74,"droid-life.com",43479,11390,1,15,2256253,168892,82297,04/01/2010 00:00,10/08/2013 00:00,"8.29.132.90","8.29.132.0","US","com",60,39,15,01/12/2011 00:00,08/12/2011 00:00
75,"master-mine.co.cc",52,-1,1,15,567,1051,908,05/04/2010 00:00,12/11/2012 00:00,"78.29.1.22","78.29.1.0","RU","cc",6,3,15,26/11/2011 00:00,22/12/2011 00:00
76,"liveenzymes.com",79,-1,1,15,682,2537,724,06/11/2008 00:00,24/12/2012 00:00,"50.63.202.12","50.63.202.0","US","com",8,2,15,28/11/2011 00:00,06/12/2011 00:00
77,"modeltouch.de",95,-1,1,15,556,54005,37348,16/11/2011 00:00,10/08/2013 00:00,"83.169.24.203","83.169.24.0","DE","de",13,0,15,17/11/2011 00:00,17/11/2011 00:00
78,"brownbook.net",47539,12846,1,14,1839383,12778523,761479,21/04/2008 00:00,10/08/2013 00:00,"208.113.97.198","208.113.97.0","US","net",49,31,14,18/11/2011 00:00,31/03/2012 00:00
79,"chutkulesms.com",205,-1,1,14,16630,8788,4596,25/01/2011 00:00,25/08/2012 00:00,"209.15.13.134","209.15.13.0","US","com",7,2,14,28/11/2011 00:00,28/11/2011 00:00
80,"free-gift-certificate-template.com",1207,-1,1,14,8011,3075,2350,04/06/2010 00:00,10/08/2013 00:00,"208.87.35.103","208.87.35.0","BS","com",19,1,14,01/12/2011 00:00,10/02/2012 00:00
81,"dv41433us.org",215,-1,1,14,3447,36072,8807,22/03/2010 00:00,14/11/2011 00:00,"50.22.11.10","50.22.11.0","US","org",7,0,14,24/11/2011 00:00,24/11/2011 00:00
82,"1tvs.net",765,-1,1,14,10728,24444,15187,16/04/2011 00:00,10/08/2013 00:00,"46.165.220.73","46.165.220.0","DE","net",30,2,14,22/11/2011 00:00,22/11/2011 00:00
83,"hourgone.com",342,-1,1,13,12644,77039,48283,04/12/2012 00:00,10/08/2013 00:00,"50.21.178.88","50.21.178.0","US","com",35,1,13,16/07/2012 00:00,11/03/2013 00:00
84,"uuaide.com",426,-1,1,13,10518,95586,46435,06/09/2010 00:00,31/07/2013 00:00,"208.87.35.103","208.87.35.0","BS","com",12,0,13,10/01/2012 00:00,13/01/2012 00:00
85,"findalawyeronline.org",1114,-1,1,13,6452,24986,22968,12/01/2011 00:00,10/08/2013 00:00,"50.63.202.62","50.63.202.0","US","org",25,10,13,10/11/2011 00:00,10/11/2011 00:00
86,"free-vps.info",91,-1,1,13,6886,45881,33212,10/09/2010 00:00,09/08/2013 00:00,"208.87.35.103","208.87.35.0","BS","info",8,0,13,22/11/2011 00:00,25/11/2011 00:00
87,"comenius-exchange.eu",54,-1,1,13,320,1011,732,25/11/2011 00:00,10/08/2013 00:00,"37.230.96.166","37.230.96.0","NL","eu",18,3,13,21/11/2011 00:00,07/12/2011 00:00
88,"piekna-miejscowka.pl",2466,-1,1,13,236423,238122,78034,02/01/2011 00:00,10/08/2013 00:00,"185.5.98.111","185.5.98.0","PL","pl",30,2,13,27/11/2011 00:00,03/12/2011 00:00
89,"spamjam.ch",54,-1,1,12,2166,228,177,19/01/2011 00:00,01/03/2012 00:00,"217.26.52.11","217.26.52.0","CH","ch",8,3,12,23/11/2011 00:00,31/03/2012 00:00
90,"dmzp.info",68,-1,1,12,1055,1017,488,30/10/2008 00:00,10/08/2013 00:00,"66.147.244.68","66.147.244.0","US","info",10,1,12,11/07/2012 00:00,21/08/2012 00:00
91,"raymondkolbe.com",46,-1,1,12,342,890,587,13/06/2010 00:00,09/08/2013 00:00,"69.89.31.166","69.89.31.0","US","com",13,4,12,29/11/2011 00:00,20/12/2011 00:00
92,"thelatesttechnoloygy.info",232,-1,1,12,1291,4939,1699,02/01/2011 00:00,31/07/2012 00:00,"74.200.89.252","74.200.89.0","US","info",9,0,12,23/12/2011 00:00,19/07/2012 00:00
93,"laptop-battery-depot.co.uk",887,-1,1,12,6007,4360,2972,23/06/2010 00:00,21/05/2013 00:00,"74.220.199.6","74.220.199.0","US","uk",11,3,12,24/11/2011 00:00,24/11/2011 00:00
94,"luissoria.org",16,-1,1,12,32,725,593,19/04/2011 00:00,05/08/2013 00:00,"66.96.160.134","66.96.160.0","US","org",9,0,12,25/11/2011 00:00,25/11/2011 00:00
95,"infomoto3.com",619,-1,1,12,22199,2273,663,27/05/2011 00:00,15/07/2013 00:00,"184.107.63.247","184.107.63.0","CA","com",14,4,12,06/12/2011 00:00,06/12/2011 00:00
96,"marenguse.com",190,-1,1,12,1334,5350,2758,18/06/2009 00:00,10/08/2013 00:00,"72.167.232.83","72.167.232.0","US","com",14,9,12,21/11/2011 00:00,22/11/2011 00:00
97,"themabusscarab.com",141,-1,1,11,920,9207,7023,25/05/2011 00:00,01/08/2013 00:00,"69.43.161.174","69.43.161.0","US","com",13,3,11,04/12/2011 00:00,02/01/2012 00:00
98,"bluboxlive.com",1015,-1,1,11,5027,5616,2578,28/02/2008 00:00,07/05/2012 00:00,"92.42.70.10","92.42.70.0","NO","com",8,2,11,04/12/2011 00:00,24/04/2012 00:00
99,"daveychu.com",35,-1,1,11,196,326,285,20/06/2009 00:00,23/07/2013 00:00,"46.30.211.56","46.30.211.0","DK","com",10,2,11,04/12/2011 00:00,07/12/2011 00:00
100,"xtrcloud.com",661,-1,1,11,7914,20400,17028,23/01/2011 00:00,10/08/2013 00:00,"173.254.28.144","173.254.28.0","US","com",30,9,11,05/12/2011 00:00,05/12/2011 00:00
101,"haperlot.com",90,-1,1,11,265,204,194,26/06/2012 00:00,10/08/2013 00:00,"69.89.31.76","69.89.31.0","US","com",12,1,11,13/07/2012 00:00,09/07/2013 00:00
102,"digipai.com",51,-1,1,11,983,1139,663,31/03/2011 00:00,10/08/2013 00:00,"64.111.127.251","64.111.127.0","US","com",11,7,11,29/11/2011 00:00,08/12/2011 00:00
103,"raidandpillage.com",146,-1,1,11,12877,194,141,07/04/2008 00:00,10/08/2013 00:00,"66.79.165.46","66.79.165.0","US","com",14,7,11,05/12/2011 00:00,19/01/2012 00:00
104,"manurodriguez.com",187,-1,1,11,2834,3553,2083,07/12/2010 00:00,01/08/2013 00:00,"134.0.11.57","134.0.11.0","ES","com",10,1,11,21/11/2011 00:00,21/11/2011 00:00
105,"moddedlife.com",33,-1,1,11,78,65830,55572,13/11/2010 00:00,10/08/2013 00:00,"97.74.181.1","97.74.181.0","US","com",10,0,11,05/12/2011 00:00,05/12/2011 00:00
106,"cnknepal.com",712,-1,1,11,4787,10497,6318,25/05/2008 00:00,04/08/2013 00:00,"69.43.161.174","69.43.161.0","US","com",20,9,11,22/11/2011 00:00,22/11/2011 00:00
107,"thingstodohigh.com",49,-1,1,11,76,2149,1621,23/12/2009 00:00,01/02/2012 00:00,"199.101.28.20","199.101.28.0","US","com",0,0,11,17/11/2011 00:00,17/11/2011 00:00
108,"xposted.com",226,-1,1,11,1974,8268,6621,20/09/2009 00:00,25/07/2013 00:00,"69.43.161.174","69.43.161.0","US","com",17,5,11,04/12/2011 00:00,21/12/2011 00:00
109,"rconlinedeals.info",1895,-1,1,11,30811,149454,64712,07/07/2010 00:00,10/08/2013 00:00,"174.120.116.253","174.120.116.0","US","info",16,3,11,09/04/2013 00:00,10/04/2013 00:00
110,"lincdirectory.info",1098,295334,1,10,14570,150865,107860,17/11/2010 00:00,10/08/2013 00:00,"198.154.229.1","198.154.229.0","US","info",24,10,10,20/05/2013 00:00,20/05/2013 00:00
111,"apleintubes.com",3364,362811,1,10,17588,259727,119245,01/09/2009 00:00,29/06/2013 00:00,"182.50.154.57","182.50.154.0","SG","com",18,13,10,06/12/2011 00:00,06/12/2011 00:00
112,"popo.lt",3189,404545,1,10,1004809,145377,97609,22/09/2009 00:00,10/08/2013 00:00,"92.61.38.106","92.61.38.0","LT","lt",43,22,10,03/12/2011 00:00,09/01/2012 00:00
113,"okrev.com",53,-1,1,10,340,7588,5529,15/02/2011 00:00,17/02/2013 00:00,"208.87.35.103","208.87.35.0","BS","com",8,0,10,06/12/2011 00:00,26/01/2012 00:00
114,"mangrade.com",402,-1,1,10,11473,1465,1284,13/10/2010 00:00,10/08/2013 00:00,"98.158.179.168","98.158.179.0","US","com",15,0,10,04/12/2011 00:00,13/07/2012 00:00
115,"youryachtgroup.com",268,-1,1,10,3757,2418,1728,30/06/2010 00:00,27/08/2012 00:00,"69.43.161.167","69.43.161.0","US","com",15,2,10,20/12/2011 00:00,25/04/2012 00:00
116,"diktiergeraete-forum.de",5866,-1,1,10,30357,328179,171529,01/02/2010 00:00,26/07/2013 00:00,"85.13.133.58","85.13.133.0","DE","de",36,12,10,30/03/2013 00:00,12/07/2013 00:00
117,"icantstopeating.com",165,-1,1,10,846,892,770,08/12/2010 00:00,10/08/2013 00:00,"173.201.98.128","173.201.98.0","US","com",14,0,10,20/11/2011 00:00,03/01/2012 00:00
118,"celestialmirror.org",86,-1,1,10,315,198,103,18/06/2012 00:00,27/07/2012 00:00,"209.217.209.33","209.217.209.0","US","org",6,1,10,21/12/2011 00:00,13/06/2012 00:00
119,"bhaktapurcity.com",22,-1,1,9,67,489,347,05/11/2011 00:00,29/07/2013 00:00,"208.91.197.101","208.91.197.0","UK","com",7,3,9,08/12/2011 00:00,19/04/2012 00:00
120,"urbanmusicawards.net",3628,-1,1,9,26606,29358,15545,30/01/2008 00:00,10/08/2013 00:00,"82.165.87.118","82.165.87.0","DE","net",26,17,9,12/12/2011 00:00,13/12/2011 00:00
121,"santsavaiyanathdham.org",279,-1,1,9,7272,917,710,17/12/2010 00:00,07/08/2013 00:00,"182.18.135.36","182.18.135.0","IN","org",10,0,9,25/11/2011 00:00,25/11/2011 00:00
122,"klausschieferdecker.de",95,-1,1,9,1572,227,115,19/10/2008 00:00,10/08/2013 00:00,"88.198.3.226","88.198.3.0","DE","de",15,5,9,04/12/2011 00:00,23/01/2012 00:00
123,"epilaredefinitiva.com.ro",185,-1,1,9,5651,2941,2766,22/06/2009 00:00,30/05/2013 00:00,"85.9.53.120","85.9.53.0","RO","ro",9,9,9,21/11/2011 00:00,23/11/2011 00:00
124,"containergardening.us",90,-1,1,9,6525,6420,5667,27/12/2008 00:00,10/08/2013 00:00,"173.231.48.132","173.231.48.0","US","us",9,4,9,30/11/2011 00:00,30/11/2011 00:00
125,"forexminder.com",81,-1,1,9,459,3493,3410,13/10/2010 00:00,09/08/2013 00:00,"198.187.29.74","198.187.29.0","US","com",13,9,9,27/11/2011 00:00,28/11/2011 00:00
126,"lukerecommends.com",685,-1,1,9,3979,47508,26609,20/09/2009 00:00,31/07/2013 00:00,"174.132.167.90","174.132.167.0","US","com",16,1,9,26/11/2011 00:00,26/11/2011 00:00
127,"ricardokakaonline.com",6463,-1,1,9,84941,333906,191606,15/08/2010 00:00,10/08/2013 00:00,"188.165.192.70","188.165.192.0","FR","com",28,21,9,02/12/2011 00:00,07/12/2011 00:00
128,"citizenhistorian.com",477,-1,1,9,10220,2844,1516,24/03/2008 00:00,10/08/2013 00:00,"74.220.207.86","74.220.207.0","US","com",26,7,9,22/11/2011 00:00,22/11/2011 00:00
129,"powerfulpanicattackremedy.com",63,-1,1,9,257,396,388,21/04/2011 00:00,11/07/2013 00:00,"174.121.33.222","174.121.33.0","US","com",7,0,9,15/12/2011 00:00,06/06/2013 00:00
130,"virtualworldfitness.net",781,-1,1,9,10077,43184,18473,11/08/2010 00:00,10/08/2013 00:00,"198.1.127.9","198.1.127.0","US","net",26,9,9,24/11/2011 00:00,24/11/2011 00:00
131,"mlmwebsite.com",59,-1,1,9,119,3957,3554,26/07/2008 00:00,18/07/2013 00:00,"69.50.218.202","69.50.218.0","US","com",6,0,9,06/12/2011 00:00,06/12/2011 00:00
132,"mymobileringtones.co.cc",1507,-1,1,9,8813,14191,8388,05/04/2010 00:00,10/11/2012 00:00,"74.54.128.2","74.54.128.0","US","cc",13,1,9,08/12/2011 00:00,02/10/2012 00:00
133,"uns.ac.id",85529,36435,1,8,8878687,1625479,731784,24/01/2008 00:00,10/08/2013 00:00,"203.6.148.11","203.6.148.0","ID","id",45,32,8,21/11/2011 00:00,21/11/2011 00:00
134,"teendawg.com",140,-1,1,8,2314,12574,3376,04/03/2010 00:00,01/08/2013 00:00,"216.172.172.194","216.172.172.0","US","com",17,15,8,27/11/2011 00:00,27/11/2011 00:00
