"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_homeairlv.com","FirstLinkDate_homeairlv.com","LastLinkDate_homeairlv.com"
25,"jemandee.com",2880,-1,1,37,16576,13152,5391,14/08/2010 00:00,09/08/2013 00:00,"65.254.250.148","65.254.250.0","US","com",22,2,37,22/05/2011 00:00,21/11/2011 00:00
26,"powerscript.net",23,-1,1,37,3003,2192,1611,21/11/2010 00:00,10/08/2013 00:00,"208.87.35.103","208.87.35.0","BS","net",8,1,37,27/11/2011 00:00,09/01/2012 00:00
27,"engoserv.org",1456,-1,1,32,32179,133127,31102,29/08/2008 00:00,03/10/2012 00:00,"38.113.1.225","38.113.1.0","US","org",9,1,32,11/06/2011 00:00,14/10/2011 00:00
28,"thingstodohigh.com",49,-1,1,31,76,2149,1621,23/12/2009 00:00,01/02/2012 00:00,"199.101.28.20","199.101.28.0","US","com",0,0,31,17/11/2011 00:00,17/11/2011 00:00
29,"vrox.net",9591,-1,1,31,48639,68429,19733,01/07/2008 00:00,09/08/2013 00:00,"184.107.71.193","184.107.71.0","CA","net",17,5,31,19/05/2011 00:00,12/12/2011 00:00
30,"bucea.org",6529,-1,1,31,82138,141884,96701,26/01/2008 00:00,10/08/2013 00:00,"69.163.193.212","69.163.193.0","US","org",32,10,31,11/06/2011 00:00,08/11/2011 00:00
31,"wellnesspacificcoast.com",215,-1,1,31,3255,2639,2173,01/06/2010 00:00,10/01/2013 00:00,"66.147.242.166","66.147.242.0","US","com",8,1,31,22/11/2011 00:00,07/12/2011 00:00
32,"classifiedadsforum.com",626,-1,1,30,1756,190268,74283,16/01/2008 00:00,22/07/2013 00:00,"67.215.66.132","67.215.66.0","US","com",12,0,30,23/05/2011 00:00,14/12/2011 00:00
33,"davidorr.net",3449,-1,1,30,507785,28337,13550,30/01/2008 00:00,10/08/2013 00:00,"74.208.58.168","74.208.58.0","US","net",21,17,30,04/08/2013 00:00,04/08/2013 00:00
34,"jhcz.net",579,-1,1,28,973,5251,3196,01/10/2008 00:00,10/08/2013 00:00,"178.23.216.176","178.23.216.0","CZ","net",10,6,28,12/10/2011 00:00,12/10/2011 00:00
35,"halperinweb.com",18866,-1,1,28,370267,41512,29136,27/10/2008 00:00,10/08/2013 00:00,"38.113.1.225","38.113.1.0","US","com",19,13,28,21/05/2011 00:00,03/04/2012 00:00
36,"darknation.hu",4918,-1,1,27,980407,90932,53765,27/01/2008 00:00,10/08/2013 00:00,"79.172.241.66","79.172.241.0","HU","hu",27,4,27,20/11/2011 00:00,18/11/2012 00:00
37,"myweightlosssolution.com",861,-1,1,27,12119,10176,9384,11/05/2008 00:00,04/06/2013 00:00,"174.120.200.163","174.120.200.0","US","com",12,1,27,29/08/2012 00:00,14/03/2013 00:00
38,"zlatovlaska.by",1695,-1,1,26,14906,14489,5796,16/07/2010 00:00,10/08/2013 00:00,"93.125.99.20","93.125.99.0","BY","by",24,9,26,11/10/2011 00:00,11/10/2011 00:00
39,"soccer-extra.com",7483,-1,1,25,69505,40465,15286,15/12/2009 00:00,26/01/2013 00:00,"174.142.32.198","174.142.32.0","CA","com",13,9,25,20/05/2011 00:00,03/10/2012 00:00
40,"lowestequityrates.info",1754,-1,1,23,30787,213687,184056,16/04/2010 00:00,10/08/2013 00:00,"208.73.211.152","208.73.211.0","US","info",26,3,23,20/11/2011 00:00,22/11/2011 00:00
41,"mapfm.co.uk",5962,-1,1,23,52437,35867,23392,25/07/2008 00:00,10/08/2013 00:00,"193.189.74.68","193.189.74.0","UK","uk",31,5,23,29/05/2011 00:00,26/07/2012 00:00
42,"strojmir.ru",2575,-1,1,23,306663,737808,393168,24/03/2008 00:00,10/08/2013 00:00,"174.123.138.26","174.123.138.0","US","ru",25,12,23,08/08/2011 00:00,26/07/2012 00:00
43,"medionsklep.pl",14592,-1,1,23,922543,2291918,167936,17/09/2008 00:00,01/08/2013 00:00,"192.165.242.210","192.165.242.0","SE","pl",29,7,23,15/07/2011 00:00,15/07/2011 00:00
44,"ntct.edu.tw",66767,155862,1,22,3941588,4390421,739703,24/01/2008 00:00,10/08/2013 00:00,"163.22.168.116","163.22.168.0","TW","tw",34,36,22,22/11/2011 00:00,31/12/2011 00:00
45,"comprar-livro.com.br",26825,773200,1,21,985041,386717,108364,27/01/2008 00:00,10/08/2013 00:00,"74.55.115.90","74.55.115.0","US","br",24,12,21,03/06/2011 00:00,10/10/2011 00:00
46,"cytatowy.eu",3771,-1,1,21,154210,5165067,485904,28/12/2008 00:00,10/02/2012 00:00,"195.20.240.41","195.20.240.0","DE","eu",10,4,21,27/07/2011 00:00,27/07/2011 00:00
47,"ccislinks.com",3851,365468,1,20,115138,30486,25414,04/02/2008 00:00,10/08/2013 00:00,"79.170.40.42","79.170.40.0","UK","com",21,19,20,28/11/2011 00:00,09/01/2012 00:00
48,"8thaccord.org",13843,-1,1,20,159597,268925,71067,31/01/2008 00:00,06/09/2011 00:00,"96.30.44.144","96.30.44.0","US","org",19,1,20,04/05/2011 00:00,19/07/2011 00:00
49,"vindgratisforum.dk",2704,-1,1,20,23540,8229,5447,28/12/2009 00:00,25/06/2012 00:00,"94.231.106.8","94.231.106.0","DK","dk",14,4,20,27/04/2011 00:00,12/05/2011 00:00
50,"gradinitebrasov.ro",20773,-1,1,20,991756,611585,242822,27/01/2008 00:00,10/08/2013 00:00,"89.42.216.149","89.42.216.0","RO","ro",39,12,20,07/06/2011 00:00,06/01/2012 00:00
51,"cuckold-contacts.com",6101,-1,1,20,67390,101713,72384,02/11/2008 00:00,10/08/2013 00:00,"92.48.75.4","92.48.75.0","UK","com",20,3,20,22/05/2011 00:00,05/09/2012 00:00
52,"filecash.ru",29363,-1,1,18,906570,1591002,169312,28/04/2009 00:00,10/08/2013 00:00,"91.213.175.229","91.213.175.0","UA","ru",41,10,18,13/05/2011 00:00,24/11/2011 00:00
53,"tomatsidan.se",5391,-1,1,17,36633,42401,15591,26/01/2008 00:00,10/08/2013 00:00,"212.97.132.104","212.97.132.0","DK","se",24,7,17,19/06/2011 00:00,09/10/2011 00:00
54,"in-other-words.net",1391,-1,1,17,3784,27071,23694,05/04/2010 00:00,10/08/2013 00:00,"74.208.207.195","74.208.207.0","US","net",16,0,17,13/10/2011 00:00,24/07/2013 00:00
55,"deadsarepunk.de",22483,-1,1,17,1064042,104873,26261,02/02/2008 00:00,01/08/2013 00:00,"216.8.179.25","216.8.179.0","CA","de",19,0,17,12/05/2011 00:00,11/06/2012 00:00
56,"cs-gorzyce.pl",973,-1,1,17,9742,25493,10087,04/06/2009 00:00,24/07/2011 00:00,"199.21.151.60","199.21.151.0","CA","pl",7,0,17,04/05/2011 00:00,23/05/2011 00:00
57,"kadedaucha.com",6787,-1,1,16,1771276,61756,49551,16/01/2008 00:00,10/08/2013 00:00,"85.14.4.231","85.14.4.0","BG","com",31,16,16,07/03/2013 00:00,07/03/2013 00:00
58,"bonkaboo.com",24750,-1,1,16,266705,72534,35290,09/07/2010 00:00,07/08/2013 00:00,"69.64.85.70","69.64.85.0","US","com",29,7,16,30/07/2011 00:00,14/10/2011 00:00
59,"wiicafe.com",12695,-1,1,15,145694,152749,44198,25/01/2008 00:00,08/08/2013 00:00,"198.71.58.221","198.71.58.0","US","com",21,7,15,08/06/2011 00:00,27/01/2013 00:00
60,"countrychannel.tv",3326,-1,1,15,23724,18999,8007,09/04/2008 00:00,28/04/2011 00:00,"212.113.17.139","212.113.17.0","UK","tv",18,21,15,25/04/2011 00:00,17/06/2011 00:00
61,"scheh.com",10943,-1,1,15,83553,135130,54291,06/03/2008 00:00,19/07/2013 00:00,"75.148.164.81","75.148.164.0","US","com",14,8,15,09/05/2011 00:00,25/11/2011 00:00
62,"master-mine.co.cc",52,-1,1,15,567,1051,908,05/04/2010 00:00,12/11/2012 00:00,"78.29.1.22","78.29.1.0","RU","cc",6,3,15,26/11/2011 00:00,22/12/2011 00:00
63,"filtor.com",25360,-1,1,15,1051536,26553657,342828,08/02/2008 00:00,10/08/2013 00:00,"75.119.209.56","75.119.209.0","US","com",31,9,15,27/05/2011 00:00,27/05/2011 00:00
64,"cleavagewars.com",30939,-1,1,15,541851,189662,164469,16/01/2009 00:00,09/08/2013 00:00,"72.29.127.125","72.29.127.0","US","com",38,6,15,07/05/2011 00:00,17/11/2011 00:00
65,"toupixie.com",1186,-1,1,15,3377,58546,10540,29/03/2011 00:00,24/06/2013 00:00,"182.50.135.195","182.50.135.0","SG","com",7,0,15,03/05/2011 00:00,18/08/2011 00:00
66,"classifiedadforum.com",830,-1,1,15,2865,111166,41228,16/01/2008 00:00,10/08/2013 00:00,"70.86.58.242","70.86.58.0","US","com",12,0,15,23/05/2011 00:00,13/12/2011 00:00
67,"ithacaforward.org",3310,157865,1,14,21349,152883,36730,30/01/2008 00:00,16/04/2013 00:00,"74.220.199.8","74.220.199.0","US","org",16,14,14,25/11/2011 00:00,25/11/2011 00:00
68,"cncelltherapy.com",65,-1,1,14,13686,16799,15088,27/01/2009 00:00,07/08/2013 00:00,"216.244.84.102","216.244.84.0","US","com",10,10,14,25/03/2013 00:00,02/04/2013 00:00
69,"99hr.net",23088,-1,1,14,480402,916030,466496,15/02/2008 00:00,10/08/2013 00:00,"157.7.135.56","157.7.135.0","JP","net",27,11,14,30/06/2011 00:00,25/10/2012 00:00
70,"kittisopongarden.com",15323,-1,1,14,319709,132995,64006,17/05/2008 00:00,10/08/2013 00:00,"122.155.17.233","122.155.17.0","TH","com",15,7,14,24/10/2011 00:00,19/11/2011 00:00
71,"junior.si",18106,-1,1,14,229749,129053,113427,25/01/2008 00:00,10/08/2013 00:00,"46.4.51.195","46.4.51.0","DE","si",28,31,14,10/05/2011 00:00,19/06/2013 00:00
72,"gueb20.com",18525,-1,1,14,233506,623255,138062,12/06/2010 00:00,04/08/2013 00:00,"69.43.161.179","69.43.161.0","US","com",29,3,14,05/05/2011 00:00,15/10/2011 00:00
73,"tdsnet.org",6890,-1,1,14,53840,120601,51220,22/05/2009 00:00,10/08/2013 00:00,"199.58.186.43","199.58.186.0","US","org",18,3,14,01/07/2011 00:00,19/10/2011 00:00
74,"bshellz.pl",32394,-1,1,14,432726,349632,130786,31/12/2009 00:00,10/08/2013 00:00,"188.40.142.12","188.40.142.0","DE","pl",38,16,14,23/06/2011 00:00,25/11/2011 00:00
75,"playlikeaninja.com",3805,-1,1,14,13872,6003,2822,23/12/2009 00:00,10/08/2013 00:00,"74.220.199.9","74.220.199.0","US","com",16,5,14,14/08/2011 00:00,17/01/2012 00:00
76,"rapstuff.info",20278,-1,1,14,1277593,492730,150199,25/01/2008 00:00,07/08/2013 00:00,"91.205.75.121","91.205.75.0","PL","info",19,11,14,30/04/2011 00:00,14/10/2011 00:00
77,"movtula.ru",16116,-1,1,13,244007,30449,12180,22/09/2009 00:00,10/08/2013 00:00,"217.199.218.198","217.199.218.0","RU","ru",32,16,13,08/05/2011 00:00,16/12/2011 00:00
78,"hunting-base.ru",15196,-1,1,13,141818,92859,19185,19/02/2010 00:00,10/08/2013 00:00,"88.198.26.93","88.198.26.0","DE","ru",30,8,13,10/05/2011 00:00,10/05/2011 00:00
79,"badolatosacofrade.com",5569,-1,1,13,39459,115972,43732,10/11/2008 00:00,10/08/2013 00:00,"69.43.161.179","69.43.161.0","US","com",32,4,13,14/08/2011 00:00,15/11/2011 00:00
80,"brownbook.net",47539,12846,1,12,1839383,12778523,761479,21/04/2008 00:00,10/08/2013 00:00,"208.113.97.198","208.113.97.0","US","net",49,31,12,19/11/2011 00:00,18/04/2012 00:00
81,"a-marine.com",2340,-1,1,12,13778,1063,881,14/01/2008 00:00,10/08/2013 00:00,"210.188.201.49","210.188.201.0","JP","com",18,17,12,16/05/2011 00:00,16/05/2011 00:00
82,"americandreamproject.org",401,-1,1,12,7923,4724,3960,24/01/2008 00:00,10/08/2013 00:00,"69.89.31.54","69.89.31.0","US","org",20,18,12,22/11/2011 00:00,13/03/2012 00:00
83,"forumy.com.ua",43624,-1,1,12,3468839,649767,187638,22/10/2008 00:00,10/08/2013 00:00,"64.85.169.253","64.85.169.0","US","ua",26,15,12,21/04/2011 00:00,04/05/2011 00:00
84,"kmgg.org",8731,-1,1,12,112319,129613,46174,04/02/2009 00:00,10/08/2013 00:00,"220.165.246.251","220.165.246.0","CN","org",32,9,12,11/06/2011 00:00,08/08/2012 00:00
85,"ecowest.co.il",420,-1,1,12,1444,11940,11489,01/03/2008 00:00,10/08/2013 00:00,"213.8.160.164","213.8.160.0","IL","il",15,19,12,30/07/2012 00:00,28/04/2013 00:00
86,"theuflonline.com",11612,-1,1,12,67998,25267,11130,12/04/2010 00:00,23/07/2013 00:00,"69.89.31.170","69.89.31.0","US","com",27,4,12,22/05/2011 00:00,18/10/2011 00:00
87,"crowsxworst.com",2874,-1,1,12,20821,71777,46376,21/03/2009 00:00,10/08/2013 00:00,"72.167.183.31","72.167.183.0","US","com",24,10,12,15/10/2011 00:00,23/05/2013 00:00
88,"healthprogram.ru",15598,-1,1,12,191365,865181,65048,20/03/2009 00:00,10/08/2013 00:00,"213.174.155.181","213.174.155.0","US","ru",21,4,12,12/05/2011 00:00,01/01/2012 00:00
89,"uof-clan.de",12085,-1,1,11,91337,663622,205905,11/01/2008 00:00,10/08/2013 00:00,"85.13.134.62","85.13.134.0","DE","de",41,3,11,10/10/2011 00:00,10/10/2011 00:00
90,"pokerfiches.com",10633,-1,1,11,630871,57711,28157,28/01/2008 00:00,10/08/2013 00:00,"91.208.99.12","91.208.99.0","UK","com",33,20,11,23/10/2011 00:00,21/07/2012 00:00
91,"lara.pl",27150,-1,1,11,2372765,334413,209109,12/01/2008 00:00,10/08/2013 00:00,"79.96.40.79","79.96.40.0","PL","pl",27,11,11,05/08/2011 00:00,07/11/2011 00:00
92,"genesisbk.com",3879,-1,1,11,57626,312394,82943,17/08/2008 00:00,08/02/2013 00:00,"176.74.176.167","176.74.176.0","UK","com",10,4,11,02/06/2011 00:00,02/01/2012 00:00
93,"cafe-au-lait.info",18412,-1,1,11,200776,1761031,481972,15/02/2008 00:00,09/08/2013 00:00,"125.197.240.104","125.197.240.0","JP","info",21,13,11,22/04/2011 00:00,27/05/2011 00:00
94,"wme.pl",3120,-1,1,11,13148,104835,52704,03/02/2008 00:00,10/08/2013 00:00,"87.204.88.162","87.204.88.0","PL","pl",12,5,11,17/06/2011 00:00,18/12/2011 00:00
95,"samasgildae.it",14747,-1,1,11,210057,239151,58110,02/02/2008 00:00,20/03/2013 00:00,"195.72.201.33","195.72.201.0","IT","it",20,5,11,06/06/2011 00:00,06/03/2012 00:00
96,"koharufan.net",21756,-1,1,11,752035,538130,231462,26/03/2010 00:00,28/07/2013 00:00,"174.120.20.62","174.120.20.0","US","net",41,7,11,07/06/2011 00:00,25/02/2013 00:00
97,"livenet.pl",127853,276769,1,10,17118739,4126406,1389378,09/01/2008 00:00,10/08/2013 00:00,"91.203.223.253","91.203.223.0","PL","pl",42,24,10,15/07/2011 00:00,15/07/2011 00:00
98,"nsx.pl",33478,-1,1,10,2568893,2716907,294529,24/01/2008 00:00,10/08/2013 00:00,"67.215.66.132","67.215.66.0","US","pl",30,19,10,23/07/2011 00:00,23/07/2011 00:00
99,"automotosport.com.ua",13474,-1,1,10,93855,29189,9313,07/09/2009 00:00,29/02/2012 00:00,"91.200.60.66","91.200.60.0","UA","ua",14,3,10,08/05/2011 00:00,15/11/2011 00:00
100,"coldplayhq.com",743,-1,1,10,3276,38270,20638,13/07/2010 00:00,02/02/2013 00:00,"173.248.133.90","173.248.133.0","US","com",7,1,10,16/10/2011 00:00,17/01/2012 00:00
101,"sinosubway.com",3878,-1,1,10,61410,65517,19764,19/11/2009 00:00,19/05/2012 00:00,"81.200.64.50","81.200.64.0","UK","com",11,1,10,31/07/2011 00:00,19/12/2011 00:00
102,"aquariuminformatie.nl",2295,-1,1,10,12571,170556,122007,02/12/2008 00:00,17/01/2013 00:00,"195.22.100.71","195.22.100.0","NL","nl",10,7,10,16/05/2011 00:00,12/10/2011 00:00
103,"thelatesttechnoloygy.info",232,-1,1,10,1291,4939,1699,02/01/2011 00:00,31/07/2012 00:00,"74.200.89.252","74.200.89.0","US","info",9,0,10,23/12/2011 00:00,19/07/2012 00:00
104,"miyoshi-h.co.jp",9859,-1,1,10,75136,2287613,445144,05/07/2008 00:00,10/08/2013 00:00,"202.229.26.178","202.229.26.0","JP","jp",23,17,10,28/06/2011 00:00,28/06/2011 00:00
105,"raovat.vn",10370,108452,1,9,791382,6743857,815039,24/01/2008 00:00,10/08/2013 00:00,"112.213.84.55","112.213.84.0","VN","vn",35,21,9,22/11/2011 00:00,22/11/2011 00:00
106,"videoviet.tv",14199,-1,1,9,1475270,9156113,995595,15/05/2009 00:00,10/08/2013 00:00,"96.31.71.251","96.31.71.0","US","tv",36,3,9,02/06/2011 00:00,04/06/2011 00:00
107,"bielaquente.com.br",8413,-1,1,9,76276,87936,53334,05/03/2008 00:00,10/08/2013 00:00,"200.220.0.90","200.220.0.0","BR","br",29,6,9,19/03/2013 00:00,05/06/2013 00:00
108,"malungossaintetienne.com",5205,-1,1,9,25982,19800,6745,08/05/2010 00:00,30/06/2013 00:00,"199.101.28.10","199.101.28.0","US","com",12,2,9,25/05/2011 00:00,20/11/2011 00:00
109,"creamfields.ro",54212,-1,1,9,2865755,402654,278868,13/09/2009 00:00,10/08/2013 00:00,"193.231.172.20","193.231.172.0","RO","ro",38,7,9,08/06/2011 00:00,05/01/2012 00:00
110,"kabataannews.com",3975,-1,1,9,20197,14856,7846,30/03/2008 00:00,25/04/2012 00:00,"208.73.211.152","208.73.211.0","US","com",10,6,9,08/05/2011 00:00,20/11/2011 00:00
111,"autorun.hu",13062,-1,1,9,304503,406763,99361,07/07/2008 00:00,10/08/2013 00:00,"78.24.191.48","78.24.191.0","HU","hu",48,2,9,03/11/2011 00:00,27/11/2012 00:00
112,"irvinsammons.net",40,-1,1,9,807,963,845,07/02/2011 00:00,10/08/2013 00:00,"41.76.209.59","41.76.209.0","ZA","net",17,0,9,24/12/2011 00:00,10/01/2012 00:00
113,"lukerecommends.com",685,-1,1,9,3979,47508,26609,20/09/2009 00:00,31/07/2013 00:00,"174.132.167.90","174.132.167.0","US","com",16,1,9,17/11/2011 00:00,17/11/2011 00:00
114,"omforum.ru",423,-1,1,9,12428,467745,185932,24/09/2009 00:00,01/11/2012 00:00,"176.74.216.197","176.74.216.0","CZ","ru",7,0,9,18/07/2011 00:00,18/07/2011 00:00
115,"d-acoustic.ru",6101,-1,1,9,31173,22150,11220,13/04/2011 00:00,10/08/2013 00:00,"90.156.201.11","90.156.201.0","RU","ru",28,4,9,27/11/2011 00:00,21/07/2012 00:00
116,"freebieholics.co.uk",4112,-1,1,9,29030,1652027,683586,14/01/2008 00:00,10/08/2013 00:00,"188.65.115.136","188.65.115.0","UK","uk",26,21,9,10/06/2011 00:00,22/11/2011 00:00
117,"leafbound.com",6769,-1,1,8,32118,15058,5602,31/08/2009 00:00,08/08/2013 00:00,"208.97.184.226","208.97.184.0","US","com",17,8,8,29/05/2011 00:00,05/12/2011 00:00
118,"la2.ru",5461,-1,1,8,529327,377857,165649,12/01/2008 00:00,10/08/2013 00:00,"178.218.210.254","178.218.210.0","RU","ru",23,8,8,04/05/2011 00:00,22/08/2011 00:00
119,"mymobileringtones.co.cc",1507,-1,1,8,8813,14191,8388,05/04/2010 00:00,10/11/2012 00:00,"74.54.128.2","74.54.128.0","US","cc",13,1,8,08/12/2011 00:00,01/05/2012 00:00
120,"ldfstudios.com",10017,-1,1,8,58552,15202,5346,29/10/2010 00:00,23/06/2013 00:00,"208.73.211.152","208.73.211.0","US","com",14,3,8,28/05/2011 00:00,21/12/2011 00:00
121,"cuds.cl",14107,-1,1,8,315788,417132,81187,24/01/2008 00:00,08/08/2013 00:00,"67.220.212.157","67.220.212.0","US","cl",24,12,8,10/06/2011 00:00,26/04/2012 00:00
122,"pozycjonowanie-bitec.pl",13896,-1,1,8,674455,1719351,100162,23/03/2011 00:00,10/08/2013 00:00,"78.47.86.197","78.47.86.0","DE","pl",30,7,8,24/07/2011 00:00,24/07/2011 00:00
123,"iransdp.ir",6128,-1,1,8,549502,34839,21154,11/05/2009 00:00,10/08/2013 00:00,"5.144.130.165","5.144.130.0","IR","ir",30,2,8,24/06/2011 00:00,04/12/2011 00:00
124,"234ac.com",8113,-1,1,8,100334,235370,53525,17/08/2010 00:00,07/08/2013 00:00,"58.64.198.141","58.64.198.0","HK","com",12,0,8,26/04/2011 00:00,29/07/2011 00:00
125,"mivoh.de",24215,-1,1,8,526682,129527,89778,07/02/2010 00:00,09/08/2013 00:00,"85.13.134.211","85.13.134.0","DE","de",31,6,8,10/11/2011 00:00,21/03/2013 00:00
126,"mangrade.com",402,-1,1,8,11473,1465,1284,13/10/2010 00:00,10/08/2013 00:00,"98.158.179.168","98.158.179.0","US","com",15,0,8,04/12/2011 00:00,13/07/2012 00:00
127,"photharam.org",10347,-1,1,8,333918,28576,9371,28/02/2008 00:00,29/01/2013 00:00,"208.91.197.101","208.91.197.0","UK","org",11,1,8,14/06/2011 00:00,14/06/2011 00:00
128,"meramecvalleycampresort.com",3414,-1,1,8,12337,11291,4911,08/05/2008 00:00,10/08/2013 00:00,"74.208.80.66","74.208.80.0","US","com",14,11,8,29/10/2011 00:00,01/08/2012 00:00
129,"add2dir.info",5688,49842,1,7,4233323,317752,233125,20/01/2008 00:00,10/07/2013 00:00,"205.196.211.22","205.196.211.0","US","info",23,18,7,17/09/2012 00:00,17/09/2012 00:00
130,"liway.com",15597,838780,1,7,173007,684352,191463,12/01/2008 00:00,10/08/2013 00:00,"72.249.77.237","72.249.77.0","US","com",29,8,7,18/06/2011 00:00,01/11/2011 00:00
131,"laptop-battery-depot.co.uk",887,-1,1,7,6007,4360,2972,23/06/2010 00:00,21/05/2013 00:00,"74.220.199.6","74.220.199.0","US","uk",11,3,7,24/11/2011 00:00,24/11/2011 00:00
132,"reelcomix.com",8320,-1,1,7,142712,161063,56499,07/06/2008 00:00,10/08/2013 00:00,"207.32.176.72","207.32.176.0","US","com",19,12,7,26/06/2012 00:00,08/08/2012 00:00
133,"moniteceletronica.com.br",12001,-1,1,7,133539,69596,44576,17/02/2011 00:00,10/08/2013 00:00,"209.126.254.122","209.126.254.0","US","br",35,3,7,10/11/2011 00:00,01/02/2013 00:00
