"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_sierramedservices.com","FirstLinkDate_sierramedservices.com","LastLinkDate_sierramedservices.com"
25,"pdf-ebook.net",634,-1,1,1,115643,1925734,120162,23/10/2011 00:00,24/06/2013 00:00,"46.105.123.175","46.105.123.0","FR","net",8,13,1,15/01/2012 00:00,15/01/2012 00:00
26,"kneewalkerreview.org",151,-1,1,1,838,2885,1161,15/03/2012 00:00,04/10/2012 00:00,"69.89.31.77","69.89.31.0","US","org",5,0,1,19/03/2012 00:00,19/03/2012 00:00
27,"cgnnet.info",69,-1,1,1,2704,26671,15117,09/07/2013 00:00,10/08/2013 00:00,"","","","info",19,0,1,28/07/2013 00:00,28/07/2013 00:00
28,"pdftrade.com",9,-1,1,1,518,366989,366987,14/08/2010 00:00,06/08/2013 00:00,"96.44.160.75","96.44.160.0","US","com",0,0,1,23/10/2011 00:00,04/03/2012 00:00
29,"woso100.com",2356,-1,1,1,1611581,14261671,1195470,30/01/2009 00:00,10/08/2013 00:00,"120.92.246.131","120.92.246.0","CN","com",10,7,1,12/07/2010 00:00,12/07/2010 00:00
30,"seeeach.com",84,-1,1,1,725,1369021,1369021,15/10/2008 00:00,27/07/2012 00:00,"96.44.170.126","96.44.170.0","US","com",0,0,1,21/01/2012 00:00,21/01/2012 00:00
31,"personalbankdebts.com",5,-1,1,1,7,19195,16806,21/03/2013 00:00,18/05/2013 00:00,"50.116.98.209","50.116.98.0","US","com",0,0,1,07/04/2013 00:00,23/04/2013 00:00
32,"pdf-search.org",1703,-1,1,1,70354,8190208,637524,01/07/2009 00:00,10/08/2013 00:00,"67.205.55.52","67.205.55.0","US","org",20,20,1,12/10/2011 00:00,04/01/2012 00:00
33,"lawyers-in.com",136,-1,1,1,2389,11628,4737,09/01/2008 00:00,10/08/2013 00:00,"184.168.221.87","184.168.221.0","US","com",7,10,1,09/08/2012 00:00,09/08/2012 00:00
34,"howtogetaloanat18.com",7,-1,1,1,52,10445,10435,20/03/2013 00:00,31/07/2013 00:00,"184.172.173.47","184.172.173.0","US","com",7,0,1,02/05/2013 00:00,02/05/2013 00:00
35,"health-mores.com",18,-1,1,1,81,398565,398564,29/07/2010 00:00,30/07/2013 00:00,"96.44.160.77","96.44.160.0","US","com",0,0,1,19/01/2012 00:00,19/01/2012 00:00
36,"goopdf.com",24,-1,1,1,511,675365,675364,05/03/2010 00:00,27/07/2012 00:00,"96.44.170.123","96.44.170.0","US","com",0,0,1,24/10/2011 00:00,10/03/2012 00:00
37,"filesdrag.com",343,-1,1,1,22802,294187,126700,06/02/2013 00:00,10/08/2013 00:00,"108.162.199.113","108.162.199.0","US","com",19,2,1,01/03/2013 00:00,01/03/2013 00:00
38,"business-pdf.com",9,-1,1,1,80,296873,296872,17/08/2010 00:00,09/08/2013 00:00,"96.44.160.75","96.44.160.0","US","com",0,0,1,18/01/2012 00:00,23/01/2012 00:00
39,"attorney-profiles.com",128,-1,1,1,206491,27281,18538,15/10/2011 00:00,29/06/2013 00:00,"108.171.200.108","108.171.200.0","US","com",5,0,1,22/03/2013 00:00,22/03/2013 00:00
40,"americanbusinesslocator.com",0,-1,1,1,0,46535,23519,07/07/2013 00:00,10/08/2013 00:00,"72.18.141.26","72.18.141.0","US","com",0,0,1,07/08/2013 00:00,07/08/2013 00:00
41,"abogadosconsultas.es",43,-1,1,1,178,28163,16030,10/03/2013 00:00,08/08/2013 00:00,"69.167.143.54","69.167.143.0","US","es",5,0,1,13/03/2013 00:00,13/03/2013 00:00
42,"trisomie.org",713,-1,1,1,372739,37233,24686,03/12/2008 00:00,02/08/2013 00:00,"108.171.200.108","108.171.200.0","US","org",8,6,1,23/03/2013 00:00,23/03/2013 00:00
